id,label,session_type,start_ts,end_ts
1,resting,fast,1786495821.887823,1786495869.9553542
2,push +X,fast,1786495869.9553542,1786495893.0161526
3,push -X,fast,1786495893.0161526,1786495909.640571
4,push +Y,fast,1786495909.640571,1786495922.9110703
5,push -Y,fast,1786495922.9110703,1786495933.1215649
6,push -Z,fast,1786495933.1215649,1786495948.913528
7,push +Z,fast,1786495948.913528,1786495961.4927237
8,twist +X,fast,1786495961.4927237,1786495976.5012364
9,twist -X,fast,1786495976.5012364,1786495986.9331305
10,twist +Y,fast,1786495986.9331305,1786495994.1549215
11,twist -Y,fast,1786495994.1549215,1786496006.440436
12,twist +Z,fast,1786496006.440436,1786496012.936152
13,twist -Z,fast,1786496012.936152,1786496026.5721986
