id,label,session_type,start_ts,end_ts
1,resting,fast,1786495313.1823087,1786495317.2925036
2,push +X,fast,1786495317.2925036,1786495346.9254556
3,push -X,fast,1786495346.9254556,1786495365.5919795
4,push +Y,fast,1786495365.5919795,1786495383.2384367
5,push -X,fast,1786495383.2384367,1786495384.2998633
6,push -Y,fast,1786495384.2998633,1786495411.2441757
7,resting,fast,1786495411.2441757,1786495411.9383287
8,push +Z,fast,1786495411.9383287,1786495422.8356154
9,push -Z,fast,1786495422.8356154,1786495438.5267503
10,resting,fast,1786495438.5267503,1786495441.66475
11,twist +X,fast,1786495441.66475,1786495457.5349996
12,resting,fast,1786495457.5349996,1786495460.2895498
13,twist -X,fast,1786495460.2895498,1786495477.8446717
14,twist +Y,fast,1786495477.8446717,1786495495.807943
15,twist -Y,fast,1786495495.807943,1786495512.0747323
16,twist +Z,fast,1786495512.0747323,1786495523.2386749
17,twist -Z,fast,1786495523.2386749,1786495529.3258317
18,resting,fast,1786495529.3258317,1786495531.7967668
