ts,label,session_type,experiment_start_ts,fx,fy,fz,mx,my,mz
1786493557.7872746,resting,fast,1786493557.4400568,-582.5432123605879,-364.0662586526179,832.814250421261,27.30496939894675,-43.690740927044246,4.303805557318648e-20
1786493557.7892652,resting,fast,1786493557.4400568,-582.7512068843216,-367.0312883231968,835.1544255912686,27.5273466242401,-43.70634051632429,4.300754582067992e-20
1786493557.7899427,resting,fast,1786493557.4400568,-581.745495863705,-368.0425514100823,829.4845829718588,27.60319135575647,-43.63091218977792,4.294061457241264e-20
1786493557.7906187,resting,fast,1786493557.4400568,-582.7332322048137,-371.0352903029194,832.9175860784189,27.827646772719344,-43.704992415361204,4.316373319430542e-20
1786493557.7913208,resting,fast,1786493557.4400568,-583.1169318229959,-373.18563864927216,827.2111353265273,27.988922898695908,-43.73376988672483,4.350973147296643e-20
1786493557.7919612,resting,fast,1786493557.4400568,-581.1274554841261,-371.1417536531882,815.4647636025702,27.8356315239896,-43.58455916130981,4.272849222265262e-20
1786493557.7926228,resting,fast,1786493557.4400568,-581.3953037924634,-369.13073860274767,811.4708992383357,27.684805395206492,-43.604647784434974,4.172798232148512e-20
1786493557.793316,resting,fast,1786493557.4400568,-578.9120935442343,-366.18676099255424,810.4435407153624,27.46400707444197,-43.41840701581784,4.1211111604168734e-20
1786493557.7939649,resting,fast,1786493557.4400568,-580.1113143981288,-367.5052934178615,818.4431982200449,27.56289700634004,-43.508348579859835,4.294817744749912e-20
1786493557.806607,resting,fast,1786493557.4400568,-579.5664292002439,-370.3493916931791,831.7707377751694,27.77620437698884,-43.467482190018515,4.446369720941013e-20
1786493557.8340685,resting,fast,1786493557.4400568,-581.8941196779406,-372.89256641471695,839.6221863664487,27.966942481104038,-43.642058975845664,4.45196898152992e-20
1786493557.862477,resting,fast,1786493557.4400568,-582.1620970051154,-372.8527870541933,841.0480756661091,27.963959029064927,-43.66215727538392,4.360608707622178e-20
1786493557.8909085,resting,fast,1786493557.4400568,-580.5656390511231,-368.38806922813126,824.8804355362336,27.629105192110178,-43.54242292883452,4.2459252756831805e-20
1786493557.9191608,resting,fast,1786493557.4400568,-579.7242137966873,-369.42846967083494,822.2352813082944,27.707135225313056,-43.4793160347518,4.283643510167305e-20
1786493557.9475374,resting,fast,1786493557.4400568,-581.683893646506,-369.72228631743803,828.1208924797766,27.72917147380821,-43.62629202348827,4.2692671050917844e-20
1786493557.9761872,resting,fast,1786493557.4400568,-582.4991792615037,-372.66267743551373,830.3700162400155,27.949700807664083,-43.68743844461299,4.2969695131290126e-20
1786493558.0049355,resting,fast,1786493557.4400568,-580.8838080003297,-368.7377228263839,820.2937146945997,27.65532921197917,-43.56628560002492,4.1901326728345356e-20
1786493558.0327728,resting,fast,1786493557.4400568,-580.6935849448059,-369.90050201045904,822.425142821301,27.742537650784744,-43.5520188708606,4.22334379359069e-20
1786493558.061267,resting,fast,1786493557.4400568,-581.3289436180848,-369.5391176030031,822.8113830705734,27.715433820225716,-43.599670771356514,4.233621806777432e-20
1786493558.0894847,resting,fast,1786493557.4400568,-581.5222597206175,-367.9037598567071,828.951027199334,27.592781989253343,-43.614169479046325,4.314037946178882e-20
1786493558.11751,resting,fast,1786493557.4400568,-581.2772595701008,-366.9384743083963,825.6469011555027,27.520385573130095,-43.595794467757536,4.3180151692429786e-20
1786493558.1460671,resting,fast,1786493557.4400568,-579.1246152407844,-367.4920112999953,820.8690753513965,27.561900847500095,-43.43434614305905,4.3120122539020027e-20
1786493558.174229,resting,fast,1786493557.4400568,-581.3561407906964,-370.18065071391993,820.7851768183673,27.763548803544406,-43.60171055930235,4.258447706020185e-20
1786493558.2032852,resting,fast,1786493557.4400568,-581.131292801274,-368.7433397516695,825.8876563501699,27.655750481375524,-43.58484696009563,4.250677523241521e-20
1786493558.2308517,resting,fast,1786493557.4400568,-582.8346742936956,-366.9627962606338,833.9093904665942,27.522209719547934,-43.71260057202725,4.3176943613026137e-20
1786493558.2592747,resting,fast,1786493557.4400568,-580.8500969600386,-364.62602320412293,837.3492148163486,27.346951740309624,-43.56375727200307,4.3508427845549714e-20
1786493558.2875757,resting,fast,1786493557.4400568,-579.6226041254554,-364.10969204051764,830.3392002059236,27.30822690303918,-43.47169530940918,4.2974660394852556e-20
1786493558.3162313,resting,fast,1786493557.4400568,-580.4780058238516,-365.1893961307269,827.5233288262971,27.389204709804805,-43.53585043678908,4.2587839908001914e-20
1786493558.3444977,resting,fast,1786493557.4400568,-582.309871650938,-367.7997594137132,825.030430250471,27.584981956028944,-43.67324037382048,4.336930601625819e-20
1786493558.3727474,resting,fast,1786493557.4400568,-583.1505434820492,-370.6730038966599,827.8496168722704,27.800475292249924,-43.736290761153796,4.4285428682692034e-20
1786493558.4010265,resting,fast,1786493557.4400568,-581.384415065666,-370.3790484644968,822.5181946939192,27.778428634837713,-43.60383112992513,4.4030804624883624e-20
1786493558.4297915,resting,fast,1786493557.4400568,-580.0805726424192,-371.4124000489163,825.4407368519896,27.855930003669183,-43.50604294818166,4.4020205516811146e-20
1786493558.4580095,resting,fast,1786493557.4400568,-579.9516649846678,-368.7204438775061,821.6221569442123,27.654033290813427,-43.49637487385017,4.323247390814641e-20
1786493558.4863122,resting,fast,1786493557.4400568,-579.9862320161242,-369.7003559371176,821.1689024026045,27.727526695284123,-43.49896740120948,4.3317779917192854e-20
1786493558.5145566,resting,fast,1786493557.4400568,-580.081794717461,-366.18771268927674,816.8723787825202,27.464078451696107,-43.506134603809805,4.253716348748553e-20
1786493558.54312,resting,fast,1786493557.4400568,-579.2311545705406,-366.49693355106626,813.8822124429544,27.48727001633028,-43.44233659279073,4.2720084698106184e-20
1786493558.5712156,resting,fast,1786493557.4400568,-579.4326307398583,-365.1449842275938,815.242905356421,27.385873817070053,-43.45744730548966,4.24354470750289e-20
1786493558.5996423,resting,fast,1786493557.4400568,-581.005786165374,-366.8603359879529,821.4287813767733,27.51452519909699,-43.57543396240326,4.308278705375143e-20
1786493558.6280968,resting,fast,1786493557.4400568,-580.2841035719907,-365.6838807535851,822.5903293363945,27.4262910565193,-43.52130776789937,4.268130130923677e-20
1786493558.656563,resting,fast,1786493557.4400568,-578.7893577006053,-364.3272937327432,820.0050324579634,27.324547029956133,-43.40920182754553,4.2734689667358154e-20
1786493558.6846569,resting,fast,1786493557.4400568,-578.0350894886856,-363.07257266217846,814.0565023961581,27.230442949663836,-43.352631711651576,4.2267631111534976e-20
1786493558.7132287,resting,fast,1786493557.4400568,-580.5695274444784,-366.54655663029564,816.331062466159,27.490991747272577,-43.54271455833608,4.2799089214264907e-20
1786493558.741414,resting,fast,1786493557.4400568,-581.2676593419505,-369.17298995048316,816.9339499695079,27.687974246286647,-43.595074450646585,4.2529222618284414e-20
1786493558.7700562,resting,fast,1786493557.4400568,-581.4124981606401,-369.626453680311,823.3187765895209,27.721984026023787,-43.605937362048266,4.275658276710083e-20
1786493558.79869,resting,fast,1786493557.4400568,-580.3720092520675,-367.4845935432586,823.400524192838,27.561344515744874,-43.527900693905195,4.25015928384486e-20
1786493558.8265672,resting,fast,1786493557.4400568,-583.38360056076,-367.717598583479,830.5764572423577,27.578819893761217,-43.75377004205727,4.331976842191375e-20
1786493558.8548663,resting,fast,1786493557.4400568,-583.9919247597254,-369.4068043844235,827.3931380381791,27.705510328832137,-43.79939435697963,4.3474822762962865e-20
1786493558.8834634,resting,fast,1786493557.4400568,-584.3562152486847,-371.5688579499871,828.7908925265419,27.86766434624953,-43.826716143651446,4.334953074096124e-20
1786493558.9117677,resting,fast,1786493557.4400568,-581.4283373534204,-370.2650437662214,823.6374714168223,27.76987828246701,-43.6071253015068,4.2926944206158866e-20
1786493558.940036,resting,fast,1786493557.4400568,-580.7611495012429,-370.75207334742765,823.7555878182457,27.806405501057615,-43.55708621259342,4.2775338106501723e-20
