ts,label,session_type,experiment_start_ts,fx,fy,fz,mx,my,mz
1786739729.1262069,resting,fast,1786739728.8838232,-470.45978235107214,-184.81804088360116,711.5860410845635,13.86135306627028,-35.284483676330694,6.797283252329469e-20
1786739729.1283414,resting,fast,1786739728.8838232,-466.75563507967763,-183.88806458827605,704.8266007463535,13.791604844120865,-35.00667263097603,6.766126472146277e-20
1786739729.1291487,resting,fast,1786739728.8838232,-465.6155084274287,-183.69915951790824,711.7357041249197,13.777436963843225,-34.92116313205726,6.786696910091121e-20
1786739729.1299527,resting,fast,1786739728.8838232,-463.00747567797225,-184.642237191022,706.8530606413306,13.848167789327004,-34.72556067584811,6.764395244778658e-20
1786739729.1359324,resting,fast,1786739728.8838232,-463.2841533558335,-183.98678221992884,712.5158870935702,13.799008666494803,-34.746311501687686,6.835189791743674e-20
1786739729.1433384,resting,fast,1786739728.8838232,-463.277341589514,-186.67833534321142,702.2516355041607,14.000875150740878,-34.745800619213604,6.868884307251762e-20
1786739729.1718419,resting,fast,1786739728.8838232,-461.9964250859862,-183.7878049696659,713.0411511790953,13.784085372725148,-34.649731881449185,6.848885655338984e-20
1786739729.200994,resting,fast,1786739728.8838232,-461.14957287846255,-183.4825492911799,708.1026678502903,13.761191196838741,-34.58621796588483,6.769122770803369e-20
1786739729.2289264,resting,fast,1786739728.8838232,-462.3729147964759,-181.39386698360454,711.8238985412481,13.604540023770628,-34.677968609735956,6.713900443550664e-20
1786739729.2573586,resting,fast,1786739728.8838232,-462.6231127906053,-180.63895180369047,702.6663730897862,13.547921385277196,-34.696733459295615,6.739551712758832e-20
1786739729.2857835,resting,fast,1786739728.8838232,-463.2165201935809,-180.30699098604794,703.8473817571321,13.523024323953795,-34.74123901451875,6.719145912996143e-20
1786739729.3143232,resting,fast,1786739728.8838232,-463.1326038207949,-179.95342134237865,708.2518709616888,13.496506600678547,-34.73494528655967,6.776479506923678e-20
1786739729.3430645,resting,fast,1786739728.8838232,-466.70239789254583,-182.27607936359345,714.5143922419411,13.67070595226981,-35.002679841941124,6.813431201698616e-20
1786739729.3717177,resting,fast,1786739728.8838232,-465.3446748715337,-183.64287719112872,717.471870332618,13.773215789334866,-34.90085061536508,6.839841548884379e-20
1786739729.400027,resting,fast,1786739728.8838232,-464.69022408531373,-183.48562719381027,715.8852761259368,13.761422039536075,-34.851766806398814,6.793571353379784e-20
1786739729.428636,resting,fast,1786739728.8838232,-462.8993310066444,-184.6727279408118,712.9944212468699,13.850454595560958,-34.71744982549852,6.797558298821053e-20
1786739729.457082,resting,fast,1786739728.8838232,-464.49514353328686,-184.89695281770048,712.1453921421544,13.867271461327793,-34.837135764996745,6.835205615776696e-20
1786739729.4854734,resting,fast,1786739728.8838232,-464.048676733652,-185.48739016436116,706.4827806847643,13.91155426232729,-34.80365075502395,6.862152640721815e-20
1786739729.5140252,resting,fast,1786739728.8838232,-464.70254033784295,-184.4660192597862,707.0535630867316,13.834951444484364,-34.85269052533858,6.835026746634965e-20
1786739729.542278,resting,fast,1786739728.8838232,-464.5734854306743,-186.8231045000041,704.951197194091,14.01173283750045,-34.84301140730071,6.834813685738565e-20
1786739729.5708823,resting,fast,1786739728.8838232,-465.29368040127247,-186.1082155353081,711.8275720223692,13.958116165148216,-34.89702603009556,6.840275693452518e-20
1786739729.5994394,resting,fast,1786739728.8838232,-465.4825381847695,-187.55519807357211,712.8912945549255,14.066639855518122,-34.91119036385795,6.872953582415877e-20
1786739729.6278846,resting,fast,1786739728.8838232,-467.41412101753485,-183.46957401385112,717.8494991774442,13.760218051038944,-35.056059076315336,6.88258799537952e-20
1786739729.65636,resting,fast,1786739728.8838232,-466.6536167254126,-184.56214947865726,712.688455825054,13.842161210899388,-34.999021254406024,6.889232425911038e-20
1786739729.6850388,resting,fast,1786739728.8838232,-463.90004310633185,-182.55829331641155,703.8901846192748,13.69187199873095,-34.79250323297511,6.819790620590782e-20
1786739729.7135165,resting,fast,1786739728.8838232,-463.4113077754914,-184.14165018156973,701.2654495600318,13.81062376361795,-34.75584808316202,6.802984012369382e-20
1786739729.7419553,resting,fast,1786739728.8838232,-463.92565197671183,-183.29192862051593,701.0824082561803,13.746894646538852,-34.794423898253584,6.79275979302554e-20
1786739729.7704835,resting,fast,1786739728.8838232,-464.6875577608207,-183.58396945209302,705.1857967847009,13.76879770890709,-34.85156683206171,6.817326260005078e-20
1786739729.799094,resting,fast,1786739728.8838232,-465.0153327758626,-185.44408054833286,708.1172109714189,13.908306041125254,-34.87614995818976,6.86222635340325e-20
1786739729.82772,resting,fast,1786739728.8838232,-463.61607498731564,-182.6552285877541,707.1685958960825,13.699142144081609,-34.77120562404889,6.794510570607606e-20
1786739729.8562183,resting,fast,1786739728.8838232,-463.6284632310776,-183.95496996768975,709.4777136067432,13.796622747576894,-34.77213474233085,6.820541836103342e-20
1786739729.884684,resting,fast,1786739728.8838232,-465.05594769971367,-183.49518827928512,707.9314779398892,13.762139120946731,-34.87919607747878,6.78427292901861e-20
1786739729.9132257,resting,fast,1786739728.8838232,-466.6072147533041,-184.88941782952065,716.9909453652963,13.866706337214385,-34.99554110649811,6.813817851921012e-20
