ts,label,session_type,experiment_start_ts,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
1786739951.750988,resting,fast,1786739951.4553726,13939.0,13453.0,13483.0,14170.0,13915.0,13532.0,13456.0,13832.0,13300.0,13457.0,13805.0,13717.0,13652.0,13856.0,13784.0,13476.0
1786739951.7537053,resting,fast,1786739951.4553726,13942.0,13453.0,13477.0,14170.5,13922.0,13530.5,13456.0,13827.0,13302.5,13453.0,13804.5,13715.5,13638.5,13850.5,13785.0,13475.5
1786739951.7545292,resting,fast,1786739951.4553726,13943.666666666666,13451.333333333334,13483.333333333334,14170.333333333334,13922.666666666666,13523.666666666666,13460.333333333334,13828.333333333334,13300.333333333334,13449.666666666666,13806.666666666666,13714.0,13633.666666666666,13849.333333333334,13784.333333333334,13473.333333333334
1786739951.7558546,resting,fast,1786739951.4553726,13942.333333333334,13454.0,13487.0,14169.666666666666,13925.0,13521.666666666666,13465.333333333334,13825.0,13303.333333333334,13448.333333333334,13810.0,13712.666666666666,13633.0,13849.666666666666,13787.666666666666,13473.333333333334
1786739951.7600904,resting,fast,1786739951.4553726,13940.666666666666,13455.666666666666,13493.0,14168.0,13925.0,13521.666666666666,13468.333333333334,13824.333333333334,13305.666666666666,13450.666666666666,13808.666666666666,13707.0,13639.0,13851.0,13781.333333333334,13468.0
1786739951.761154,resting,fast,1786739951.4553726,13940.333333333334,13451.666666666666,13495.666666666666,14168.0,13923.666666666666,13519.666666666666,13468.666666666666,13821.666666666666,13304.0,13452.666666666666,13807.0,13704.0,13640.666666666666,13850.666666666666,13779.333333333334,13463.0
1786739951.762105,resting,fast,1786739951.4553726,13943.666666666666,13441.333333333334,13488.0,14168.666666666666,13926.0,13513.0,13461.0,13819.0,13301.0,13449.0,13797.0,13698.0,13634.333333333334,13848.666666666666,13770.666666666666,13456.666666666666
1786739951.7900393,resting,fast,1786739951.4553726,13941.333333333334,13433.333333333334,13488.333333333334,14166.333333333334,13927.0,13503.333333333334,13456.666666666666,13816.666666666666,13300.0,13440.666666666666,13791.666666666666,13693.0,13636.666666666666,13846.0,13772.333333333334,13451.666666666666
1786739951.818328,resting,fast,1786739951.4553726,13943.333333333334,13435.333333333334,13485.666666666666,14166.666666666666,13929.333333333334,13505.666666666666,13455.333333333334,13819.333333333334,13301.0,13439.666666666666,13791.666666666666,13696.333333333334,13636.333333333334,13841.666666666666,13771.333333333334,13457.333333333334
1786739951.8468387,resting,fast,1786739951.4553726,13947.0,13435.333333333334,13490.333333333334,14166.0,13932.333333333334,13506.0,13461.0,13822.666666666666,13305.666666666666,13443.333333333334,13796.333333333334,13702.0,13641.0,13838.333333333334,13769.333333333334,13461.0
1786739951.8751388,resting,fast,1786739951.4553726,13948.0,13437.0,13489.666666666666,14163.666666666666,13927.666666666666,13511.0,13465.0,13821.0,13303.666666666666,13450.0,13804.0,13707.666666666666,13637.666666666666,13842.0,13774.333333333334,13469.666666666666
1786739951.9037473,resting,fast,1786739951.4553726,13942.666666666666,13438.0,13489.0,14161.666666666666,13929.666666666666,13515.666666666666,13465.666666666666,13817.666666666666,13310.666666666666,13453.333333333334,13805.0,13703.333333333334,13645.0,13849.0,13778.666666666666,13465.333333333334
1786739951.9320147,resting,fast,1786739951.4553726,13934.666666666666,13442.0,13491.666666666666,14160.666666666666,13924.333333333334,13518.0,13466.0,13818.0,13308.0,13450.666666666666,13809.0,13700.666666666666,13645.0,13851.666666666666,13785.666666666666,13461.333333333334
1786739951.9604547,resting,fast,1786739951.4553726,13934.333333333334,13446.0,13493.0,14169.0,13927.666666666666,13523.0,13467.0,13825.333333333334,13311.0,13452.666666666666,13809.333333333334,13702.666666666666,13648.0,13851.0,13784.333333333334,13457.0
