ts,label,session_type,experiment_start_ts,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
1786492949.1336534,resting,fast,1786492948.8101642,13743.0,13452.0,13703.0,14332.0,13782.0,13572.0,13669.0,13945.0,13369.0,13649.0,13817.0,13536.0,13898.0,13771.0,13712.0,13636.0
1786492949.1356611,resting,fast,1786492948.8101642,13738.5,13454.5,13702.0,14332.0,13781.0,13570.5,13667.0,13944.5,13367.0,13648.0,13815.0,13534.5,13896.0,13770.0,13711.5,13635.0
1786492949.1364014,resting,fast,1786492948.8101642,13739.0,13455.333333333334,13700.666666666666,14330.666666666666,13782.666666666666,13571.666666666666,13665.666666666666,13946.666666666666,13368.333333333334,13648.0,13811.333333333334,13534.0,13897.333333333334,13770.666666666666,13709.0,13635.0
1786492949.1371202,resting,fast,1786492948.8101642,13736.333333333334,13457.0,13696.333333333334,14328.333333333334,13783.666666666666,13573.0,13662.666666666666,13949.0,13368.666666666666,13648.666666666666,13809.666666666666,13533.0,13898.0,13772.333333333334,13709.0,13634.333333333334
1786492949.1378312,resting,fast,1786492948.8101642,13738.0,13456.333333333334,13697.0,14328.333333333334,13784.333333333334,13575.0,13663.666666666666,13950.666666666666,13371.0,13649.666666666666,13809.333333333334,13534.0,13900.0,13773.666666666666,13709.0,13635.333333333334
1786492949.1385634,resting,fast,1786492948.8101642,13736.333333333334,13453.666666666666,13697.0,14327.0,13783.0,13572.666666666666,13664.0,13945.666666666666,13368.333333333334,13649.0,13812.0,13531.333333333334,13897.333333333334,13773.0,13710.333333333334,13633.333333333334
1786492949.1392643,resting,fast,1786492948.8101642,13736.333333333334,13452.0,13700.333333333334,14328.333333333334,13782.666666666666,13572.333333333334,13665.333333333334,13946.0,13368.666666666666,13649.333333333334,13808.333333333334,13530.333333333334,13897.0,13773.0,13705.0,13633.666666666666
1786492949.1399853,resting,fast,1786492948.8101642,13736.333333333334,13450.666666666666,13699.333333333334,14327.333333333334,13782.666666666666,13571.0,13664.333333333334,13945.333333333334,13366.666666666666,13649.333333333334,13806.333333333334,13530.0,13893.666666666666,13773.666666666666,13704.0,13633.0
1786492949.1407125,resting,fast,1786492948.8101642,13737.0,13451.666666666666,13699.0,14326.0,13784.333333333334,13572.333333333334,13661.666666666666,13948.666666666666,13369.0,13650.0,13803.333333333334,13530.0,13894.333333333334,13773.0,13701.333333333334,13631.0
1786492949.1717649,resting,fast,1786492948.8101642,13736.666666666666,13454.0,13695.333333333334,14326.0,13782.666666666666,13572.0,13656.0,13947.0,13365.0,13648.333333333334,13801.333333333334,13532.0,13891.0,13771.666666666666,13704.0,13632.666666666666
1786492949.191092,resting,fast,1786492948.8101642,13735.666666666666,13454.0,13696.333333333334,14325.666666666666,13782.0,13570.666666666666,13657.333333333334,13944.666666666666,13367.0,13643.333333333334,13804.0,13531.333333333334,13893.333333333334,13766.333333333334,13705.333333333334,13632.333333333334
1786492949.2192607,resting,fast,1786492948.8101642,13736.333333333334,13455.0,13697.333333333334,14329.666666666666,13780.666666666666,13569.333333333334,13661.0,13945.333333333334,13366.666666666666,13642.333333333334,13806.333333333334,13531.666666666666,13895.0,13768.0,13708.333333333334,13633.333333333334
