id,label,session_type,start_ts,end_ts
1,resting,fast,1786741245.9927976,1786741279.374918
2,push +Y,fast,1786741279.374918,1786741319.9396284
3,resting,fast,1786741319.9396284,1786741333.8178282
4,push -Y,fast,1786741333.8178282,1786741392.4374645
5,resting,fast,1786741392.4374645,1786741415.9396918
6,push +X,fast,1786741415.9396918,1786741446.381622
7,push -X,fast,1786741446.381622,1786741477.8395483
8,resting,fast,1786741477.8395483,1786741504.7829545
9,push +Z,fast,1786741504.7829545,1786741531.466043
10,resting,fast,1786741531.466043,1786741538.8839834
11,push -Z,fast,1786741538.8839834,1786741562.5026352
12,resting,fast,1786741562.5026352,1786741574.6422062
13,twist +X,fast,1786741574.6422062,1786741593.984332
14,twist -X,fast,1786741593.984332,1786741602.3232894
15,resting,fast,1786741602.3232894,1786741615.2537315
16,twist +Y,fast,1786741615.2537315,1786741625.3301132
17,twist -X,fast,1786741625.3301132,1786741626.2262
18,twist -Y,fast,1786741626.2262,1786741643.5476406
19,resting,fast,1786741643.5476406,1786741650.5300236
20,twist +Z,fast,1786741650.5300236,1786741666.8097496
21,resting,fast,1786741666.8097496,1786741673.5930877
22,twist -Z,fast,1786741673.5930877,1786741685.9825077
23,resting,fast,1786741685.9825077,1786741688.513525
