ts,label,session_type,experiment_start_ts,fx,fy,fz,mx,my,mz
1786733737.9522872,resting,fast,1786733737.7779894,-448.1418085226792,-189.7251360087315,689.4508866561237,14.229385200654985,-33.61063563920103,6.7335587913314e-20
1786733738.107629,resting,fast,1786733737.7779894,-450.8222598803086,-190.98173162952605,692.0273780778107,14.323629872214479,-33.81166949102325,6.677369842448617e-20
1786733738.1091664,resting,fast,1786733737.7779894,-453.86219226735784,-190.35377382352317,695.6106352530041,14.276533036764388,-34.03966442005195,6.687066357975535e-20
1786733738.1115232,resting,fast,1786733737.7779894,-454.35338059800006,-190.8936579510123,692.6115081366097,14.317024346326352,-34.076503544850226,6.64214070101525e-20
1786733738.1126444,resting,fast,1786733737.7779894,-454.84749613081885,-187.29199792066322,700.8503770803627,14.04689984405007,-34.1135622098115,6.690750768908791e-20
1786733738.1204178,resting,fast,1786733737.7779894,-455.2547483001117,-187.4855049340581,704.151253306718,14.061412870054564,-34.14410612250855,6.708160332090279e-20
1786733738.122366,resting,fast,1786733737.7779894,-455.27324182427174,-188.787714108905,696.4562763326885,14.159078558168144,-34.145493136820534,6.7487412407242e-20
1786733738.127842,resting,fast,1786733737.7779894,-457.7813128716707,-190.10262905672903,697.2080269897488,14.257697179254823,-34.333598465375545,6.81970737006937e-20
1786733738.156498,resting,fast,1786733737.7779894,-453.7450179839934,-190.9895508214753,681.5759557619585,14.324216311610723,-34.030876348799744,6.81146698239053e-20
1786733738.1848457,resting,fast,1786733737.7779894,-454.8785455141265,-189.02485486886928,695.4062217147493,14.17686411516527,-34.11589091355977,6.808872595197932e-20
1786733738.2131891,resting,fast,1786733737.7779894,-452.4977781166749,-188.30647503762737,682.3662982433361,14.12298562782227,-33.93733335875097,6.691807806091513e-20
1786733738.2414763,resting,fast,1786733737.7779894,-453.67295052072086,-186.09722606956325,695.4395201680309,13.957291955217375,-34.02547128905416,6.74953204687289e-20
1786733738.2697945,resting,fast,1786733737.7779894,-455.5921209194944,-185.99968872343766,695.3444640424659,13.949976654258112,-34.16940906896228,6.724024801237646e-20
1786733738.2984412,resting,fast,1786733737.7779894,-456.21219095585366,-189.04045476059912,702.3330984716504,14.178034107045061,-34.21591432168917,6.737978778558127e-20
1786733738.3266242,resting,fast,1786733737.7779894,-457.98863717684844,-190.82447503101594,696.5536708596474,14.311835627326477,-34.349147788263764,6.661217924266195e-20
1786733738.3551626,resting,fast,1786733737.7779894,-457.03755350949314,-189.42238332092006,693.0392041530304,14.20667874906913,-34.277816513212144,6.731502311007187e-20
1786733738.3844786,resting,fast,1786733737.7779894,-457.60886982680586,-190.70358133579327,693.7573336574033,14.302768600184653,-34.32066523701057,6.78310408441779e-20
1786733738.4119074,resting,fast,1786733737.7779894,-456.10882854778583,-191.62751434769518,696.6467940613893,14.37206357607742,-34.20816214108408,6.808942587862441e-20
1786733738.4402583,resting,fast,1786733737.7779894,-456.5431604754426,-193.0187359152244,707.5709336640848,14.476405193641899,-34.240737035658185,6.814962040868565e-20
1786733738.4686723,resting,fast,1786733737.7779894,-457.04453605517983,-189.8225877628953,703.5070859599073,14.236694082217273,-34.278340204138736,6.741025948399831e-20
1786733738.4972022,resting,fast,1786733737.7779894,-459.91860384486563,-188.04971459801402,706.1299699990686,14.10372859485118,-34.493895288364946,6.739466212518958e-20
1786733738.5258794,resting,fast,1786733737.7779894,-458.7558748831948,-187.96387377919416,693.9753792451247,14.09729053343995,-34.40669061623972,6.687188987433036e-20
1786733738.5538044,resting,fast,1786733737.7779894,-455.663929453121,-188.28031938697427,691.5482415859606,14.121023954023304,-34.17479470898416,6.673168332727367e-20
1786733738.5825794,resting,fast,1786733737.7779894,-454.8346047242403,-191.22506835458955,693.6688096290845,14.3418801265945,-34.11259535431804,6.719132961531997e-20
1786733738.6107283,resting,fast,1786733737.7779894,-453.8846661887337,-191.8281493052134,691.5124058871097,14.387111197891219,-34.04134996415504,6.701204157219281e-20
1786733738.639091,resting,fast,1786733737.7779894,-455.6369650296947,-194.6226409729436,694.3396791661653,14.596698072970877,-34.172772377227226,6.745027028639552e-20
1786733738.667627,resting,fast,1786733737.7779894,-456.1693695000631,-192.8066753970079,687.8910083595165,14.46050065477581,-34.21270271250481,6.70859461014443e-20
1786733738.6961539,resting,fast,1786733737.7779894,-458.4006883930583,-191.9192284213201,691.6042599530101,14.393942131599129,-34.38005162947962,6.711602715177037e-20
1786733738.7243946,resting,fast,1786733737.7779894,-456.7092231690517,-187.8163529960019,687.6358824297295,14.086226474700428,-34.25319173767908,6.707009942816892e-20
1786733738.7529638,resting,fast,1786733737.7779894,-456.44786825290066,-189.19568072183404,692.8010301163977,14.189676054137767,-34.2335901189677,6.722971091282166e-20
1786733738.7824137,resting,fast,1786733737.7779894,-455.4026817521353,-188.23255959175094,694.599157314391,14.117441969381485,-34.155201131410266,6.710478199021552e-20
1786733738.8098946,resting,fast,1786733737.7779894,-456.4839351300302,-189.14530113358956,695.3887997022694,14.185897585019486,-34.23629513475233,6.714000672995028e-20
1786733738.8383803,resting,fast,1786733737.7779894,-454.87441379066286,-187.1873378839956,691.0709451917483,14.039050341299909,-34.115581034299815,6.653643277366345e-20
1786733738.8663902,resting,fast,1786733737.7779894,-453.54143718499836,-188.3155964293628,685.317183578918,14.12366973220244,-34.01560778887504,6.673165322942415e-20
1786733738.89459,resting,fast,1786733737.7779894,-453.80005618766427,-186.06840512675603,686.8626004917223,13.955130384506948,-34.035004214074924,6.649018596137781e-20
1786733738.9231465,resting,fast,1786733737.7779894,-454.52888155783785,-185.41395361487378,689.6355371834343,13.906046521115744,-34.089666116837826,6.672899028628863e-20
1786733738.9516938,resting,fast,1786733737.7779894,-456.77202314811257,-187.20153738108309,692.5629876879648,14.040115303581562,-34.25790173610844,6.682412223302499e-20
1786733738.9814026,resting,fast,1786733737.7779894,-457.96781141007887,-191.00884262764646,695.1137338126346,14.32566319707389,-34.347585855756044,6.677850669617897e-20
1786733739.0084677,resting,fast,1786733737.7779894,-457.6993720773644,-190.96703034530117,692.0053249885395,14.322527275897787,-34.32745290580255,6.652960210259306e-20
1786733739.0369806,resting,fast,1786733737.7779894,-457.2194580315918,-188.52907835434667,698.8079762719426,14.13968087657624,-34.29145935236949,6.640951579086291e-20
1786733739.0651152,resting,fast,1786733737.7779894,-457.9921783199911,-189.92219247637536,698.5540608054162,14.244164435728354,-34.349413373999504,6.712557805309191e-20
1786733739.0934691,resting,fast,1786733737.7779894,-458.49527586886734,-190.73771346926378,704.8208812314115,14.305328510194958,-34.38714569016525,6.751447158833361e-20
1786733739.1219504,resting,fast,1786733737.7779894,-458.49547651690455,-191.6395328089959,695.7039701219574,14.372964960674953,-34.387160738768024,6.759730444779417e-20
1786733739.1502285,resting,fast,1786733737.7779894,-455.2316731433475,-190.79871124791146,691.3137653231624,14.309903343593465,-34.14237548575118,6.741323982272953e-20
1786733739.180221,resting,fast,1786733737.7779894,-455.31329667760747,-191.7095369048892,694.5689524971731,14.37821526786681,-34.14849725082079,6.805880004942386e-20
1786733739.207232,resting,fast,1786733737.7779894,-455.93968891017494,-191.11053331000812,701.3172263536944,14.33328999825078,-34.1954766682633,6.793882305407141e-20
1786733739.235721,resting,fast,1786733737.7779894,-457.16891051449284,-190.5215388375184,705.7158852792882,14.289115412814244,-34.28766828858737,6.8054298546361e-20
1786733739.264094,resting,fast,1786733737.7779894,-454.9054038919876,-188.7048975276433,694.1075608107858,14.152867314573516,-34.11790529189927,6.681799043407109e-20
1786733739.2923791,resting,fast,1786733737.7779894,-453.977535247137,-188.90325190825502,690.2673206507343,14.167743893119447,-34.04831514353551,6.670094069368549e-20
1786733739.3206546,resting,fast,1786733737.7779894,-453.6126819101055,-188.16167771333448,687.9019840761794,14.112125828500158,-34.020951143258266,6.624797671417399e-20
1786733739.349407,resting,fast,1786733737.7779894,-453.9656744459144,-189.21675001529024,686.2047052572661,14.191256251147,-34.04742558344363,6.626893687143235e-20
1786733739.3799639,resting,fast,1786733737.7779894,-453.4235405356194,-188.913333931514,687.7873274623025,14.168500044863666,-34.00676554017168,6.642769058457349e-20
1786733739.4063601,resting,fast,1786733737.7779894,-454.49406402191426,-188.71679314327378,693.6896045442963,14.153759485745848,-34.08705480164359,6.667817840849214e-20
1786733739.4346287,resting,fast,1786733737.7779894,-454.69714012434997,-186.86515638685967,693.2404701713567,14.014886729014737,-34.10228550932647,6.650750789013727e-20
1786733739.4631283,resting,fast,1786733737.7779894,-454.21542242631904,-187.17174813456995,693.3553383299832,14.037881110092872,-34.0661566819741,6.657213483549247e-20
