ts,label,session_type,experiment_start_ts,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
1786496844.742649,resting,fast,1786496844.4721546,13750.0,13451.0,13705.0,14360.0,13791.0,13572.0,13668.0,13964.0,13371.0,13665.0,13830.0,13535.0,13919.0,13798.0,13703.0,13633.0
1786496844.7445698,resting,fast,1786496844.4721546,13750.0,13453.5,13707.0,14359.5,13791.0,13573.5,13671.0,13963.0,13372.0,13664.5,13829.0,13534.5,13917.0,13797.5,13704.5,13628.5
1786496844.7452536,resting,fast,1786496844.4721546,13750.333333333334,13453.0,13704.333333333334,14359.333333333334,13791.0,13573.0,13670.666666666666,13964.333333333334,13372.333333333334,13663.333333333334,13827.666666666666,13534.666666666666,13913.666666666666,13796.0,13705.0,13630.0
1786496844.745925,resting,fast,1786496844.4721546,13751.0,13453.333333333334,13706.0,14358.333333333334,13790.666666666666,13572.333333333334,13672.333333333334,13962.666666666666,13372.666666666666,13660.666666666666,13827.0,13534.0,13913.333333333334,13793.0,13705.666666666666,13626.666666666666
1786496844.7465906,resting,fast,1786496844.4721546,13749.0,13444.0,13705.666666666666,14356.333333333334,13790.666666666666,13565.666666666666,13671.333333333334,13961.0,13372.0,13655.333333333334,13827.333333333334,13532.666666666666,13913.666666666666,13788.0,13706.333333333334,13627.0
1786496844.7475507,resting,fast,1786496844.4721546,13747.333333333334,13445.333333333334,13703.333333333334,14356.666666666666,13791.333333333334,13566.333333333334,13671.0,13958.666666666666,13371.333333333334,13655.333333333334,13829.0,13532.0,13916.666666666666,13788.333333333334,13706.333333333334,13625.0
1786496844.7486472,resting,fast,1786496844.4721546,13744.666666666666,13443.333333333334,13691.333333333334,14347.666666666666,13791.333333333334,13565.666666666666,13663.333333333334,13950.666666666666,13371.666666666666,13656.0,13822.666666666666,13526.0,13915.0,13791.0,13703.333333333334,13625.666666666666
1786496844.7711537,resting,fast,1786496844.4721546,13742.333333333334,13452.0,13691.0,14347.0,13789.666666666666,13571.0,13662.666666666666,13948.666666666666,13372.0,13659.666666666666,13821.666666666666,13525.333333333334,13914.333333333334,13793.0,13702.0,13624.666666666666
1786496844.80043,resting,fast,1786496844.4721546,13743.666666666666,13448.0,13688.666666666666,14344.333333333334,13788.666666666666,13569.0,13654.0,13948.0,13372.0,13658.333333333334,13816.666666666666,13525.333333333334,13912.666666666666,13790.333333333334,13702.333333333334,13625.333333333334
1786496844.8281474,resting,fast,1786496844.4721546,13741.666666666666,13451.0,13698.333333333334,14353.0,13788.333333333334,13571.0,13659.333333333334,13956.333333333334,13371.666666666666,13658.0,13821.0,13531.333333333334,13913.666666666666,13789.0,13704.666666666666,13626.333333333334
1786496844.8562956,resting,fast,1786496844.4721546,13746.0,13450.333333333334,13698.333333333334,14353.666666666666,13790.666666666666,13571.0,13660.333333333334,13958.333333333334,13370.666666666666,13656.333333333334,13823.333333333334,13532.666666666666,13913.333333333334,13788.666666666666,13705.666666666666,13627.666666666666
1786496844.884556,resting,fast,1786496844.4721546,13745.333333333334,13452.0,13703.0,14353.0,13789.666666666666,13570.333333333334,13666.666666666666,13958.0,13368.666666666666,13654.0,13826.333333333334,13533.333333333334,13913.333333333334,13788.666666666666,13703.333333333334,13627.0
1786496844.9129753,resting,fast,1786496844.4721546,13748.666666666666,13451.666666666666,13702.666666666666,14354.333333333334,13790.666666666666,13571.333333333334,13665.666666666666,13957.0,13368.333333333334,13656.0,13827.666666666666,13532.333333333334,13913.0,13791.0,13704.0,13627.0
1786496844.9412758,resting,fast,1786496844.4721546,13748.0,13453.333333333334,13702.333333333334,14353.333333333334,13789.666666666666,13572.333333333334,13666.333333333334,13956.0,13369.333333333334,13659.333333333334,13828.0,13531.666666666666,13913.0,13794.666666666666,13706.666666666666,13628.333333333334
1786496844.969628,resting,fast,1786496844.4721546,13749.333333333334,13457.0,13705.0,14355.666666666666,13791.0,13576.333333333334,13668.333333333334,13958.666666666666,13371.666666666666,13664.0,13827.333333333334,13531.0,13914.666666666666,13797.666666666666,13708.0,13628.666666666666
1786496844.9984827,resting,fast,1786496844.4721546,13749.0,13456.666666666666,13708.0,14356.0,13790.333333333334,13576.333333333334,13671.333333333334,13962.0,13370.0,13664.0,13829.666666666666,13532.0,13914.0,13796.333333333334,13710.333333333334,13628.333333333334
1786496845.026605,resting,fast,1786496844.4721546,13747.333333333334,13456.0,13708.0,14360.0,13788.666666666666,13575.666666666666,13670.0,13967.0,13368.666666666666,13662.666666666666,13829.666666666666,13533.666666666666,13914.666666666666,13794.0,13708.0,13627.333333333334
1786496845.0549073,resting,fast,1786496844.4721546,13746.0,13453.666666666666,13707.666666666666,14361.0,13789.666666666666,13574.333333333334,13670.666666666666,13967.666666666666,13369.333333333334,13662.666666666666,13831.666666666666,13534.0,13914.333333333334,13793.333333333334,13707.0,13628.333333333334
1786496845.0835826,resting,fast,1786496844.4721546,13746.0,13455.333333333334,13706.666666666666,14360.333333333334,13788.333333333334,13574.333333333334,13670.666666666666,13967.333333333334,13370.666666666666,13662.666666666666,13831.666666666666,13534.333333333334,13915.666666666666,13794.333333333334,13704.333333333334,13626.333333333334
