id,label,session_type,start_ts,end_ts
1,resting,fast,1786492547.3926182,1786492563.7676241
2,push +X,fast,1786492563.7676241,1786492585.7636023
3,resting,fast,1786492585.7636023,1786492587.156304
4,push -X,fast,1786492587.156304,1786492602.8027008
5,resting,fast,1786492602.8027008,1786492616.351549
6,push +Y,fast,1786492616.351549,1786492626.153732
7,resting,fast,1786492626.153732,1786492627.0138278
8,push -Y,fast,1786492627.0138278,1786492667.7828565
9,resting,fast,1786492667.7828565,1786492670.067265
10,push +Z,fast,1786492670.067265,1786492678.1194575
11,resting,fast,1786492678.1194575,1786492678.8809187
12,push -Z,fast,1786492678.8809187,1786492686.0302494
13,resting,fast,1786492686.0302494,1786492692.1201603
14,twist +X,fast,1786492692.1201603,1786492700.3729293
15,resting,fast,1786492700.3729293,1786492700.9691284
16,twist -X,fast,1786492700.9691284,1786492706.594394
17,resting,fast,1786492706.594394,1786492711.8928924
18,twist +Y,fast,1786492711.8928924,1786492720.5263176
19,resting,fast,1786492720.5263176,1786492721.024317
20,twist -Y,fast,1786492721.024317,1786492729.6071162
21,resting,fast,1786492729.6071162,1786492734.0157044
22,twist +Z,fast,1786492734.0157044,1786492743.0322945
23,resting,fast,1786492743.0322945,1786492744.4910874
24,twist -Z,fast,1786492744.4910874,1786492750.7574148
25,resting,fast,1786492750.7574148,1786492754.9710739
