id,label,session_type,start_ts,end_ts
1,resting,fast,1787279983.8225672,1787280019.0767202
2,push +Z,fast,1787280019.0767202,1787280030.926786
3,resting,fast,1787280030.926786,1787280060.9934292
4,push +Z,fast,1787280060.9934292,1787280082.9746249
5,resting,fast,1787280082.9746249,1787280122.4154756
6,push +Z,fast,1787280122.4154756,1787280162.9422514
7,resting,fast,1787280162.9422514,1787280195.2118814
8,push +Z,fast,1787280195.2118814,1787280242.8874705
9,resting,fast,1787280242.8874705,1787280292.9902208
