id,label,session_type,start_ts,end_ts
1,resting,fast,1786572448.1585035,1786572458.4774625
2,push +X,fast,1786572458.4774625,1786572545.624174
3,push -X,fast,1786572545.624174,1786572594.4033518
4,push +Y,fast,1786572594.4033518,1786572638.3094597
5,push -Y,fast,1786572638.3094597,1786572660.8948598
6,push +Z,fast,1786572660.8948598,1786572704.047532
7,push -Z,fast,1786572704.047532,1786572752.512917
8,twist +X,fast,1786572752.512917,1786572838.375611
9,twist +Y,fast,1786572838.375611,1786572875.5928738
10,twist -Y,fast,1786572875.5928738,1786572925.2714713
11,twist +Z,fast,1786572925.2714713,1786572960.3095148
