ts,uf_raw_fx,uf_raw_fy,uf_raw_fz,uf_raw_mx,uf_raw_my,uf_raw_mz,uf_cal_fx,uf_cal_fy,uf_cal_fz,uf_cal_mx,uf_cal_my,uf_cal_mz,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,old_fx,old_fy,old_fz,old_mx,old_my,old_mz,new_fx,new_fy,new_fz,new_mx,new_my,new_mz
1786587331.1626568,-6.139999866485596,-8.9399995803833,22.479999542236328,-0.2175000011920929,0.47450000047683716,-0.024000000208616257,0.11969312280416489,-0.045813336968421936,0.26705047488212585,0.00857158936560154,-0.005866556894034147,-0.012383285909891129,13746.333333333334,13442.0,13702.666666666666,14379.0,13779.0,13551.0,13663.333333333334,13972.0,13363.666666666666,13659.0,13837.0,13523.0,13926.666666666666,13805.333333333334,13696.333333333334,13615.0,0.6314050469406328,-2.708101062401663,0.9455629247706968,-0.05723336597746402,0.04076457192897023,-0.0319488984808845,-2.6578219238419534,-0.4619801674973034,1.706280929611971,0.06342314322072523,-0.10762324963719233,-0.0297941917335769
1786587331.1958892,-6.139999866485596,-8.9399995803833,22.479999542236328,-0.2175000011920929,0.47450000047683716,-0.024000000208616257,0.11969312280416489,-0.045813336968421936,0.26705047488212585,0.00857158936560154,-0.005866556894034147,-0.012383285909891129,13746.666666666666,13443.0,13702.333333333334,14377.666666666666,13779.666666666666,13555.333333333334,13663.0,13971.0,13364.666666666666,13661.666666666666,13836.0,13522.666666666666,13926.666666666666,13803.666666666666,13696.666666666666,13615.0,2.8095548105822914,-5.370560032809274,-2.1360010500358855,0.023537065792701456,-0.07656192377492968,-0.268907238708838,-6.904462176802374,-2.741355636478204,0.10590806431268707,0.17186876431699025,-0.39458451402007444,-0.13422354746393136
1786587331.2288795,-6.139999866485596,-8.9399995803833,22.479999542236328,-0.2175000011920929,0.47450000047683716,-0.024000000208616257,0.11969312280416489,-0.045813336968421936,0.26705047488212585,0.00857158936560154,-0.005866556894034147,-0.012383285909891129,13748.0,13443.666666666666,13702.666666666666,14378.333333333334,13780.0,13553.666666666666,13662.666666666666,13972.333333333334,13364.0,13662.333333333334,13833.666666666666,13525.666666666666,13925.666666666666,13805.666666666666,13693.333333333334,13617.666666666666,0.20590683211302652,-6.362294251233731,1.0890683496496725,-0.09138584737416935,-0.08276890257082029,-0.120306710822344,-6.504163389174952,-1.574758512324028,1.6231819757497437,0.1139003802562858,-0.338181166421614,-0.013167294007172443
1786587331.2617252,-6.139999866485596,-8.9399995803833,22.479999542236328,-0.2175000011920929,0.47450000047683716,-0.024000000208616257,0.11969312280416489,-0.045813336968421936,0.26705047488212585,0.00857158936560154,-0.005866556894034147,-0.012383285909891129,13747.666666666666,13443.0,13703.333333333334,14378.333333333334,13781.0,13553.666666666666,13661.666666666666,13970.0,13364.666666666666,13660.666666666666,13833.0,13523.666666666666,13926.0,13802.0,13694.0,13618.666666666666,0.032995010556291615,-9.75902216159992,-3.380546902010812,-0.06880784060876852,0.031290630022731296,-0.03009884325108811,-9.721868927193665,-2.257396315782831,-2.2380863355698857,0.21241455422244776,-0.5457279252547799,0.058744751639971574
1786587331.2946634,-6.139999866485596,-8.9399995803833,22.479999542236328,-0.2175000011920929,0.47450000047683716,-0.024000000208616257,0.11969312280416489,-0.045813336968421936,0.26705047488212585,0.00857158936560154,-0.005866556894034147,-0.012383285909891129,13747.666666666666,13444.333333333334,13704.666666666666,14375.333333333334,13778.0,13553.0,13662.0,13966.666666666666,13363.0,13662.0,13834.0,13523.333333333334,13928.333333333334,13804.333333333334,13692.666666666666,13618.0,6.589023857767048,-4.400699228848893,3.602927482594121,-0.2675391698104842,0.06725523001315728,-0.23668143860274904,-5.871921778099757,-6.215228993287179,0.8443024629580869,0.49530566620563937,-0.20622561102581263,-0.15460210325256538
1786587331.327582,-6.139999866485596,-8.9399995803833,22.479999542236328,-0.2175000011920929,0.47450000047683716,-0.024000000208616257,0.11969312280416489,-0.045813336968421936,0.26705047488212585,0.00857158936560154,-0.005866556894034147,-0.012383285909891129,13745.333333333334,13443.666666666666,13701.333333333334,14375.333333333334,13777.0,13554.0,13659.333333333334,13967.333333333334,13363.666666666666,13661.333333333334,13835.333333333334,13523.666666666666,13929.0,13803.0,13696.0,13617.333333333334,5.536541005420225,3.5268039549361707,-1.5164544473307164,-0.25004778164792624,0.15141471369586698,-0.13046344030918258,-1.6808386271541265,-6.238709656616386,-1.0539743952701355,0.5481375637828387,0.07610407421766444,-0.08717565336431257
1786587331.3606138,-6.139999866485596,-8.9399995803833,22.479999542236328,-0.2175000011920929,0.47450000047683716,-0.024000000208616257,0.11969312280416489,-0.045813336968421936,0.26705047488212585,0.00857158936560154,-0.005866556894034147,-0.012383285909891129,13743.333333333334,13443.333333333334,13698.333333333334,14377.333333333334,13775.0,13556.333333333334,13658.333333333334,13972.333333333334,13363.0,13664.0,13836.333333333334,13526.333333333334,13928.0,13805.666666666666,13696.666666666666,13616.333333333334,1.727927647084475,9.321914624973674,-2.897677368914866,-0.18101056921593883,0.015225296296228312,-0.20978826703424713,1.6140069664187306,-3.353728215369051,0.3067368639478256,0.2972742562727217,0.2544508315246191,-0.12640054921733004
1786587331.3934512,-6.340000152587891,-8.920000076293945,22.420000076293945,-0.24150000512599945,0.4790000021457672,-0.0215000007301569,0.15691249072551727,-0.1584496945142746,0.8344148397445679,0.0016304381424561143,-0.0009632613509893417,-0.011262813583016396,13744.333333333334,13442.666666666666,13700.333333333334,14374.666666666666,13775.0,13555.333333333334,13660.666666666666,13971.333333333334,13363.0,13664.0,13836.333333333334,13525.0,13927.333333333334,13806.0,13695.0,13614.666666666666,3.980867211668075,5.527631284288523,0.3152244006582997,-0.18154559389971922,-0.07849290290960406,-0.3338188469054491,-0.6093526308551169,-3.7253899374715767,0.973317223385824,0.2672880115188887,0.10287711269854204,-0.21868726760955048
1786587331.4263911,-6.340000152587891,-8.920000076293945,22.420000076293945,-0.24150000512599945,0.4790000021457672,-0.0215000007301569,0.15691249072551727,-0.1584496945142746,0.8344148397445679,0.0016304381424561143,-0.0009632613509893417,-0.011262813583016396,13743.333333333334,13442.666666666666,13700.666666666666,14374.0,13776.333333333334,13555.0,13661.0,13972.666666666666,13362.666666666666,13663.333333333334,13836.666666666666,13523.0,13928.333333333334,13804.0,13695.333333333334,13614.666666666666,1.0979638877743216,0.694874251238788,-5.553681821472328,-0.11687124343325513,-0.028684850764345397,-0.1713977601014098,-4.3866036315027825,-1.8043650541203153,-2.627994655819756,0.14696856505892644,-0.1930605779872673,-0.14885372656348952
1786587331.459339,-6.340000152587891,-8.920000076293945,22.420000076293945,-0.24150000512599945,0.4790000021457672,-0.0215000007301569,0.15691249072551727,-0.1584496945142746,0.8344148397445679,0.0016304381424561143,-0.0009632613509893417,-0.011262813583016396,13743.333333333334,13441.333333333334,13699.333333333334,14374.0,13778.333333333334,13554.666666666666,13659.0,13973.666666666666,13365.0,13662.333333333334,13834.666666666666,13523.666666666666,13928.333333333334,13804.0,13694.333333333334,13615.333333333334,-1.8641970816018998,0.24593062813572253,-9.771157901267287,-0.18859334345646828,-0.027656800186110768,-0.11596993009579401,-4.1503113633914595,-0.2142549422444322,-5.132484558103855,0.05615735497102792,-0.13350788098942248,-0.06301037146621022
