ts,label,session_type,experiment_start_ts,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
1787111424.7929928,resting,fast,1787111424.6421568,21385.0,20394.0,19909.0,20568.0,21218.0,20644.0,19866.0,19952.0,19896.0,19907.0,20361.0,20729.0,19899.0,21057.0,21173.0,19858.0
1787111424.793873,resting,fast,1787111424.6421568,21384.0,20387.5,19905.5,20566.5,21216.0,20640.5,19865.0,19953.0,19894.5,19904.0,20357.5,20726.0,19896.5,21056.0,21173.5,19855.5
1787111424.7947178,resting,fast,1787111424.6421568,21383.0,20386.333333333332,19905.333333333332,20565.333333333332,21216.666666666668,20639.666666666668,19864.666666666668,19952.0,19893.666666666668,19902.666666666668,20358.0,20724.333333333332,19895.0,21055.333333333332,21170.333333333332,19854.333333333332
1787111424.795544,resting,fast,1787111424.6421568,21381.0,20383.333333333332,19904.0,20563.666666666668,21214.333333333332,20638.333333333332,19863.333333333332,19951.333333333332,19892.666666666668,19900.333333333332,20357.333333333332,20721.333333333332,19892.666666666668,21054.0,21168.0,19852.333333333332
1787111424.7998047,resting,fast,1787111424.6421568,21380.0,20382.666666666668,19904.0,20563.666666666668,21214.333333333332,20638.0,19862.0,19951.333333333332,19892.666666666668,19899.0,20359.666666666668,20720.666666666668,19892.333333333332,21052.666666666668,21166.333333333332,19850.333333333332
1787111424.8005316,resting,fast,1787111424.6421568,21377.666666666668,20379.0,19898.333333333332,20560.333333333332,21209.333333333332,20633.666666666668,19856.0,19948.666666666668,19890.333333333332,19896.0,20354.0,20719.0,19891.333333333332,21048.666666666668,21162.666666666668,19847.666666666668
1787111424.801184,resting,fast,1787111424.6421568,21372.333333333332,20377.333333333332,19893.666666666668,20558.0,21207.333333333332,20631.666666666668,19852.0,19946.333333333332,19887.333333333332,19893.666666666668,20350.0,20716.333333333332,19892.333333333332,21046.0,21158.333333333332,19844.333333333332
1787111424.802409,resting,fast,1787111424.6421568,21372.666666666668,20379.0,19892.666666666668,20554.333333333332,21206.333333333332,20632.666666666668,19850.0,19944.0,19886.666666666668,19894.333333333332,20345.333333333332,20714.666666666668,19892.0,21044.666666666668,21155.666666666668,19844.333333333332
1787111424.8034,resting,fast,1787111424.6421568,21375.333333333332,20383.666666666668,19898.333333333332,20557.333333333332,21210.666666666668,20638.0,19855.0,19946.666666666668,19889.333333333332,19897.333333333332,20351.333333333332,20716.666666666668,19895.666666666668,21048.333333333332,21159.666666666668,19848.0
1787111424.8043098,resting,fast,1787111424.6421568,21380.0,20382.333333333332,19901.0,20556.0,21210.666666666668,20638.0,19856.333333333332,19945.666666666668,19889.0,19897.0,20353.666666666668,20716.333333333332,19892.0,21048.0,21160.666666666668,19847.333333333332
1787111424.8064342,resting,fast,1787111424.6421568,21377.0,20379.333333333332,19900.666666666668,20554.666666666668,21208.666666666668,20635.333333333332,19856.666666666668,19944.0,19887.333333333332,19895.333333333332,20355.666666666668,20715.666666666668,19890.333333333332,21047.333333333332,21161.333333333332,19846.333333333332
1787111424.8115685,resting,fast,1787111424.6421568,21369.666666666668,20369.0,19897.333333333332,20550.666666666668,21199.0,20627.333333333332,19853.666666666668,19942.0,19877.666666666668,19889.333333333332,20352.333333333332,20714.0,19878.666666666668,21041.666666666668,21157.333333333332,19843.666666666668
1787111424.8226628,resting,fast,1787111424.6421568,21368.333333333332,20368.666666666668,19895.666666666668,20553.0,21198.333333333332,20627.0,19854.0,19944.0,19878.333333333332,19890.666666666668,20352.333333333332,20716.0,19878.666666666668,21043.333333333332,21159.0,19844.666666666668
1787111424.8336353,resting,fast,1787111424.6421568,21369.666666666668,20370.333333333332,19898.0,20556.0,21199.0,20630.333333333332,19855.666666666668,19945.333333333332,19878.666666666668,19893.666666666668,20355.0,20717.0,19879.666666666668,21045.333333333332,21161.0,19845.0
1787111424.8447459,resting,fast,1787111424.6421568,21371.333333333332,20375.666666666668,19898.666666666668,20561.666666666668,21204.0,20634.0,19857.666666666668,19947.333333333332,19886.666666666668,19897.333333333332,20356.666666666668,20718.333333333332,19886.333333333332,21048.666666666668,21166.666666666668,19845.333333333332
1787111424.8561697,resting,fast,1787111424.6421568,21373.333333333332,20377.666666666668,19902.333333333332,20563.0,21207.0,20636.0,19860.333333333332,19950.666666666668,19888.0,19899.333333333332,20359.666666666668,20721.0,19887.0,21048.666666666668,21167.666666666668,19849.0
1787111424.867361,resting,fast,1787111424.6421568,21375.0,20378.333333333332,19903.666666666668,20565.0,21208.666666666668,20633.0,19862.0,19951.666666666668,19889.666666666668,19897.333333333332,20358.333333333332,20723.666666666668,19888.333333333332,21048.333333333332,21170.0,19852.0
1787111424.8783724,resting,fast,1787111424.6421568,21381.333333333332,20380.666666666668,19905.666666666668,20563.0,21210.666666666668,20633.666666666668,19861.666666666668,19950.333333333332,19889.333333333332,19897.666666666668,20359.666666666668,20722.666666666668,19889.666666666668,21048.333333333332,21167.666666666668,19852.666666666668
1787111424.8896906,resting,fast,1787111424.6421568,21382.0,20382.333333333332,19904.666666666668,20563.666666666668,21210.333333333332,20634.0,19860.333333333332,19948.666666666668,19890.333333333332,19898.0,20358.666666666668,20723.0,19892.666666666668,21048.0,21166.666666666668,19852.333333333332
1787111424.9007785,resting,fast,1787111424.6421568,21381.666666666668,20383.0,19903.333333333332,20561.666666666668,21209.666666666668,20636.333333333332,19861.0,19947.666666666668,19890.0,19899.666666666668,20359.0,20721.333333333332,19891.0,21048.666666666668,21163.666666666668,19850.0
1787111424.9117453,resting,fast,1787111424.6421568,21377.666666666668,20382.666666666668,19902.666666666668,20563.0,21208.666666666668,20636.333333333332,19862.666666666668,19949.0,19890.0,19900.333333333332,20358.0,20721.333333333332,19891.0,21047.333333333332,21165.666666666668,19849.333333333332
1787111424.9231117,resting,fast,1787111424.6421568,21376.333333333332,20382.333333333332,19902.666666666668,20561.0,21207.666666666668,20635.333333333332,19862.666666666668,19951.333333333332,19889.0,19899.333333333332,20357.333333333332,20720.333333333332,19889.333333333332,21047.333333333332,21166.0,19849.666666666668
1787111424.9341438,resting,fast,1787111424.6421568,21377.0,20382.0,19902.666666666668,20561.666666666668,21207.666666666668,20633.666666666668,19861.333333333332,19952.666666666668,19890.0,19898.333333333332,20357.0,20721.333333333332,19891.666666666668,21046.666666666668,21166.666666666668,19851.666666666668
1787111424.9452069,resting,fast,1787111424.6421568,21379.666666666668,20380.666666666668,19900.666666666668,20560.333333333332,21209.0,20633.666666666668,19858.666666666668,19953.0,19889.333333333332,19897.333333333332,20356.666666666668,20723.0,19890.666666666668,21047.0,21165.666666666668,19853.333333333332
1787111424.956518,resting,fast,1787111424.6421568,21380.666666666668,20381.0,19901.0,20559.0,21208.0,20635.0,19857.0,19949.666666666668,19889.666666666668,19898.333333333332,20356.333333333332,20720.666666666668,19891.0,21048.0,21165.333333333332,19851.0
1787111424.9675298,resting,fast,1787111424.6421568,21377.666666666668,20382.333333333332,19900.666666666668,20559.333333333332,21205.666666666668,20636.0,19856.0,19951.0,19886.666666666668,19899.666666666668,20358.0,20721.333333333332,19889.666666666668,21049.333333333332,21164.666666666668,19851.0
1787111424.9785726,resting,fast,1787111424.6421568,21378.333333333332,20383.0,19903.333333333332,20559.333333333332,21205.0,20637.0,19858.0,19950.0,19887.666666666668,19900.666666666668,20360.0,20719.0,19890.666666666668,21051.333333333332,21165.333333333332,19850.0
