ts,uf_raw_fx,uf_raw_fy,uf_raw_fz,uf_raw_mx,uf_raw_my,uf_raw_mz,uf_cal_fx,uf_cal_fy,uf_cal_fz,uf_cal_mx,uf_cal_my,uf_cal_mz,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,old_OLS_fx,old_OLS_fy,old_OLS_fz,old_OLS_mx,old_OLS_my,old_OLS_mz,old_ridge_fx,old_ridge_fy,old_ridge_fz,old_ridge_mx,old_ridge_my,old_ridge_mz,new_OLS_fx,new_OLS_fy,new_OLS_fz,new_OLS_mx,new_OLS_my,new_OLS_mz,new_ridge_fx,new_ridge_fy,new_ridge_fz,new_ridge_mx,new_ridge_my,new_ridge_mz
1786744695.0404832,-5.440000057220459,-7.980000019073486,21.280000686645508,-0.32350000739097595,0.515500009059906,-0.017000000923871994,0.39502429962158203,1.6648494005203247,-0.09501691907644272,-0.08549558371305466,-0.010784233920276165,0.0032785627990961075,13680.0,13465.0,13688.666666666666,14186.666666666666,13716.666666666666,13684.333333333334,13648.666666666666,13667.666666666666,13360.0,13684.0,13687.0,13407.333333333334,13781.0,13794.333333333334,13667.333333333334,13496.333333333334,-2.708101062401663,-0.6314050469406328,0.9455629247706968,0.08073251140031229,-0.11418943127256125,-0.0319488984808845,-2.6578219238419534,-0.4619801674973034,1.706280929611971,0.06342314322072523,-0.10762324963719233,-0.0297941917335769,-0.2909991026851721,1.3130734291559045,4.291130087458763,-0.20263656582841227,0.06478108526588372,-0.007374856132571301,-0.2783019872342923,1.2988729409838415,4.206340766248695,-0.19858176965132157,0.06392862702629835,-0.004706620231635945
1786744695.071989,-5.440000057220459,-7.980000019073486,21.280000686645508,-0.32350000739097595,0.515500009059906,-0.017000000923871994,0.39502429962158203,1.6648494005203247,-0.09501691907644272,-0.08549558371305466,-0.010784233920276165,0.0032785627990961075,13682.333333333334,13460.666666666666,13688.666666666666,14189.333333333334,13719.333333333334,13678.666666666666,13650.666666666666,13668.666666666666,13360.666666666666,13680.0,13692.666666666666,13407.333333333334,13779.333333333334,13792.0,13675.333333333334,13496.0,8.722629440551264,4.4444780549062495,2.922937534454182,-0.06230958169859491,0.4174432518939918,0.4850133025241585,5.7151220963236335,3.2668424269650167,5.102025437309201,-0.12766780079599363,0.33912482629688706,0.2923745258364074,-0.49446200382384914,3.5194201885884233,6.355202537589127,-0.3824676299326494,0.08980676022034124,0.065742726813272,-0.11046867062486326,3.6516299353797077,5.95216706308367,-0.3888354839472626,0.11275173369033757,0.06464054311067924
1786744695.1056535,-5.440000057220459,-7.980000019073486,21.280000686645508,-0.32350000739097595,0.515500009059906,-0.017000000923871994,0.39502429962158203,1.6648494005203247,-0.09501691907644272,-0.08549558371305466,-0.010784233920276165,0.0032785627990961075,13675.333333333334,13466.333333333334,13689.333333333334,14188.666666666666,13713.0,13677.333333333334,13649.0,13666.666666666666,13358.0,13675.333333333334,13692.333333333334,13406.333333333334,13778.666666666666,13785.333333333334,13678.0,13492.666666666666,0.5170500908392515,4.946363042939557,3.409398845249217,0.1799544821779766,0.16049422037397265,0.9712712154335013,0.4913556353160624,1.516427258674068,2.502763193727316,0.1262397228219442,0.05101198623572062,0.5490282842736737,-0.6858779194988052,2.6404914444297956,6.8177038579279525,-0.34462716499122154,0.05436000405905007,0.4425536112042708,0.32105101244029494,2.468197676635853,6.068970164024936,-0.3022792152879253,0.12473312930522873,0.4173675095438375
1786744695.1384573,-5.440000057220459,-7.980000019073486,21.280000686645508,-0.32350000739097595,0.515500009059906,-0.017000000923871994,0.39502429962158203,1.6648494005203247,-0.09501691907644272,-0.08549558371305466,-0.010784233920276165,0.0032785627990961075,13675.0,13458.333333333334,13691.0,14189.0,13711.333333333334,13671.666666666666,13649.0,13671.333333333334,13357.0,13678.666666666666,13692.666666666666,13416.333333333334,13780.0,13795.666666666666,13677.666666666666,13502.666666666666,20.336395244951166,9.503258905871114,6.76449659863666,0.05815282383750109,1.8777366718479547,1.1666526156164623,16.399871389718346,4.31085333121851,7.546673426987085,0.1198106403823545,1.2969091358649696,0.7422985343741351,0.9181929505919384,8.8280118061128,6.137640272222519,-1.2237643252205221,0.43107184471704013,0.29533619289757435,1.5245667895347783,8.442674138979124,6.111107620050788,-1.1539483358204825,0.44384864290453824,0.2753944930676021
1786744695.171333,-5.440000057220459,-7.980000019073486,21.280000686645508,-0.32350000739097595,0.515500009059906,-0.017000000923871994,0.39502429962158203,1.6648494005203247,-0.09501691907644272,-0.08549558371305466,-0.010784233920276165,0.0032785627990961075,13673.333333333334,13463.0,13691.666666666666,14190.333333333334,13709.666666666666,13677.666666666666,13649.0,13674.666666666666,13356.0,13682.333333333334,13692.666666666666,13417.333333333334,13782.0,13798.0,13679.0,13502.333333333334,15.852556623045711,7.006001798044074,6.867991392651272,0.1435731987227808,1.6159075218434413,0.9294235938601354,12.57009361164091,2.4966881525499147,9.708849425385012,0.19740489225512953,1.041089504337241,0.5808673251137851,1.4940773253986674,7.804236325283762,9.08364995420362,-1.0061386962256678,0.5145986386189324,0.25527232521597437,1.8053363866838368,7.299936131645174,9.488477082127668,-0.9381432811700365,0.5076597445086254,0.2261677675723652
1786744695.2042465,-5.440000057220459,-7.980000019073486,21.280000686645508,-0.32350000739097595,0.515500009059906,-0.017000000923871994,0.39502429962158203,1.6648494005203247,-0.09501691907644272,-0.08549558371305466,-0.010784233920276165,0.0032785627990961075,13681.0,13464.333333333334,13690.666666666666,14191.333333333334,13718.0,13678.666666666666,13648.0,13674.666666666666,13360.666666666666,13686.0,13691.333333333334,13419.666666666666,13782.0,13802.666666666666,13678.666666666666,13508.0,23.719549861952128,6.785570169304445,10.173561025600323,0.09709291377752555,2.118963497412798,0.8034566894563413,17.728320535636637,0.8085101623561892,14.83269610476912,0.28842158762156167,1.4242574770490921,0.581140405026338,0.4451624189842938,9.082312777001713,13.323394875874461,-1.2584908108485193,0.44436201923363533,0.14875578709384568,1.1835206867798764,8.994959432094225,13.326792463422155,-1.2289117963609215,0.45875657116680085,0.1380828973038141
1786744695.2375681,-5.440000057220459,-7.980000019073486,21.280000686645508,-0.32350000739097595,0.515500009059906,-0.017000000923871994,0.39502429962158203,1.6648494005203247,-0.09501691907644272,-0.08549558371305466,-0.010784233920276165,0.0032785627990961075,13683.333333333334,13470.0,13689.0,14192.0,13720.666666666666,13681.333333333334,13648.0,13671.333333333334,13361.666666666666,13687.333333333334,13692.333333333334,13419.333333333334,13781.0,13800.666666666666,13678.333333333334,13509.666666666666,23.574235383157873,6.258453381809562,13.165948811205476,0.03140538822267691,1.9728821660018894,0.7385133039993477,16.04515450640587,-1.8844924383710067,17.576446631841616,0.41930786849769675,1.2807108614322456,0.5540100089795246,-2.393883225043693,8.87994283186141,15.948280284281005,-1.3137499328485087,0.10573301888102737,0.19569362989775832,-0.7948792865625751,8.822348936068465,15.660542922608084,-1.2739398278963014,0.1972485468006789,0.18049717825709458
1786744695.270927,-5.440000057220459,-7.980000019073486,21.280000686645508,-0.32350000739097595,0.515500009059906,-0.017000000923871994,0.39502429962158203,1.6648494005203247,-0.09501691907644272,-0.08549558371305466,-0.010784233920276165,0.0032785627990961075,13683.333333333334,13469.666666666666,13686.666666666666,14191.333333333334,13715.666666666666,13682.333333333334,13647.0,13673.666666666666,13357.666666666666,13688.666666666666,13693.0,13419.333333333334,13780.666666666666,13803.0,13680.666666666666,13509.0,34.50506837384933,-1.7453090996141727,15.104319121119195,0.722151791960059,2.457931545551878,0.869634089910986,21.3754986966366,-5.338775636618532,18.788513789474823,0.7198218700555915,1.5329770818895663,0.5476567698449715,2.3638658444397254,9.349618909616476,17.184184112157183,-1.291120593756833,0.6566352393552473,0.11550695218330417,3.493517971383638,9.467477754150362,16.59416059568285,-1.272128460749678,0.697828396628202,0.087066875026221
1786744695.3044546,-5.440000057220459,-7.980000019073486,21.280000686645508,-0.32350000739097595,0.515500009059906,-0.017000000923871994,0.39502429962158203,1.6648494005203247,-0.09501691907644272,-0.08549558371305466,-0.010784233920276165,0.0032785627990961075,13683.666666666666,13474.0,13686.666666666666,14191.0,13715.666666666666,13686.666666666666,13647.333333333334,13677.666666666666,13356.0,13688.666666666666,13691.666666666666,13420.666666666666,13778.333333333334,13804.333333333334,13676.666666666666,13508.333333333334,23.06619073111113,-1.4631377739277562,16.75773391118476,0.4814300940341808,1.5693369655613294,0.8072505723978609,14.291515959365203,-4.973000736997243,20.052866552024586,0.5798235638321865,0.9426268120000769,0.5611882171221068,3.7148848602917215,8.786029805533692,17.295450381929335,-0.9234764832277296,0.6615036000222465,0.24886911016595462,4.302799839059439,8.803963125571183,16.950636433954635,-0.9318975353031831,0.6679016990242691,0.2299202315147568
1786744695.3370018,-5.440000057220459,-7.980000019073486,21.280000686645508,-0.32350000739097595,0.515500009059906,-0.017000000923871994,0.39502429962158203,1.6648494005203247,-0.09501691907644272,-0.08549558371305466,-0.010784233920276165,0.0032785627990961075,13684.666666666666,13469.333333333334,13688.666666666666,14190.0,13715.333333333334,13682.333333333334,13647.333333333334,13676.0,13356.666666666666,13688.0,13692.0,13419.666666666666,13779.0,13804.0,13677.0,13506.333333333334,28.177380842667038,-0.5450637258300733,19.547478880193275,0.48631815192247063,2.0754100147195995,0.8003331771836255,18.32911716319767,-3.298818920014865,19.920368684092967,0.48773544965826954,1.2805408934411358,0.5243763008518001,2.430387435702666,9.985080502656134,16.69948829125803,-1.2543095026649098,0.5623792120406683,0.19873796949846892,3.209501155075439,9.986974896945906,16.172976166585812,-1.237129420611575,0.5835536093716167,0.1694022033396808
