id,label,session_type,start_ts,end_ts
1,resting,fast,1787164129.0098612,1787164244.1401715
2,push +X,fast,1787164244.1401715,1787164273.1288972
3,resting,fast,1787164273.1288972,1787164302.6916037
4,push +X,fast,1787164302.6916037,1787164335.817775
5,resting,fast,1787164335.817775,1787164381.2904353
6,push +X,fast,1787164381.2904353,1787164408.542461
7,resting,fast,1787164408.542461,1787164475.933659
8,push +Y,fast,1787164475.933659,1787164502.993257
9,resting,fast,1787164502.993257,1787164530.0373018
10,push +Y,fast,1787164530.0373018,1787164554.6184173
11,resting,fast,1787164554.6184173,1787164588.5884242
12,push +Y,fast,1787164588.5884242,1787164612.5550165
13,resting,fast,1787164612.5550165,1787164661.825438
14,twist +Y,fast,1787164661.825438,1787164705.4886472
15,resting,fast,1787164705.4886472,1787164787.3397171
16,push +Z,fast,1787164787.3397171,1787164823.778633
17,resting,fast,1787164823.778633,1787164856.8355196
18,push +Z,fast,1787164856.8355196,1787164895.095915
19,resting,fast,1787164895.095915,1787164949.0738974
20,push +Z,fast,1787164949.0738974,1787164986.610093
21,resting,fast,1787164986.610093,1787165035.0272827
22,twist +Z,fast,1787165035.0272827,1787165126.7687452
23,resting,fast,1787165126.7687452,1787165222.2449102
24,push +Z,fast,1787165222.2449102,1787165252.5105848
25,resting,fast,1787165252.5105848,1787165283.5745945
26,push +Y,fast,1787165283.5745945,1787165307.5023215
27,resting,fast,1787165307.5023215,1787165341.9053457
28,push +Y,fast,1787165341.9053457,1787165362.6787987
29,resting,fast,1787165362.6787987,1787165380.1860557
30,twist -Z,fast,1787165380.1860557,1787165423.4749136
31,resting,fast,1787165423.4749136,1787165430.7361922
32,resting,fast,1787165430.7361922,1787165432.4725804
