id,label,session_type,start_ts,end_ts
1,resting,fast,1786492062.170318,1786492097.5175278
2,push +X,fast,1786492097.5175278,1786492129.368313
3,resting,fast,1786492129.368313,1786492131.9556062
4,push -X,fast,1786492131.9556062,1786492138.618567
5,resting,fast,1786492138.618567,1786492143.4987102
6,push +Y,fast,1786492143.4987102,1786492154.4186647
7,resting,fast,1786492154.4186647,1786492155.345064
8,push -Y,fast,1786492155.345064,1786492165.4404464
9,resting,fast,1786492165.4404464,1786492171.0318542
10,push +Z,fast,1786492171.0318542,1786492181.4060013
11,resting,fast,1786492181.4060013,1786492182.2358372
12,push -Z,fast,1786492182.2358372,1786492190.3874512
13,resting,fast,1786492190.3874512,1786492196.5796
14,twist +X,fast,1786492196.5796,1786492205.5943491
15,resting,fast,1786492205.5943491,1786492206.920679
16,twist -X,fast,1786492206.920679,1786492214.5662239
17,resting,fast,1786492214.5662239,1786492216.8864934
18,twist +Y,fast,1786492216.8864934,1786492223.9997432
19,resting,fast,1786492223.9997432,1786492224.53234
20,twist -Y,fast,1786492224.53234,1786492231.0959504
21,resting,fast,1786492231.0959504,1786492235.3030617
22,twist +Z,fast,1786492235.3030617,1786492241.4597309
23,resting,fast,1786492241.4597309,1786492242.2553961
24,twist -Z,fast,1786492242.2553961,1786492248.9590995
25,resting,fast,1786492248.9590995,1786492249.091644
26,resting,fast,1786492249.091644,1786492264.9294586
27,twist -Z,fast,1786492264.9294586,1786492269.8969748
28,resting,fast,1786492269.8969748,1786492271.0594695
29,twist +Z,fast,1786492271.0594695,1786492274.7425463
30,resting,fast,1786492274.7425463,1786492280.0036047
