ts,label,session_type,experiment_start_ts,fx,fy,fz,mx,my,mz
1786497122.0351744,resting,fast,1786497121.65051,-589.1250479288792,-367.26293047698493,840.3838454982015,27.544719785774458,-44.18437859466609,4.378617746913671e-20
1786497122.0372217,resting,fast,1786497121.65051,-587.5534905854224,-366.82858316478166,833.8376461848857,27.51214373735893,-44.06651179390679,4.386835885536959e-20
1786497122.038052,resting,fast,1786497121.65051,-585.7987687402765,-364.83052341781786,825.9017356239938,27.362289256336755,-43.93490765552087,4.343232124428799e-20
1786497122.0603569,resting,fast,1786497121.65051,-585.7819904708699,-366.99415606447087,824.3867632042866,27.524561704835765,-43.933649285315354,4.338005731977375e-20
1786497122.0612824,resting,fast,1786497121.65051,-585.6946777761273,-364.2013451007764,823.5877921390165,27.315100882558628,-43.92710083320962,4.267369243112918e-20
1786497122.0620258,resting,fast,1786497121.65051,-589.5496420959162,-366.8557010105835,837.8173091959634,27.514177575794225,-44.21622315719395,4.3501353705922254e-20
1786497122.062752,resting,fast,1786497121.65051,-588.8473737294703,-363.37543355544574,838.8672316378297,27.253157516658806,-44.16355302971052,4.3655789325213053e-20
1786497122.0634577,resting,fast,1786497121.65051,-588.2179816798844,-364.41733929724444,836.4797864008051,27.33130044729379,-44.116348625991584,4.360466353424751e-20
1786497122.064234,resting,fast,1786497121.65051,-587.6532914450531,-362.2707182136627,830.0490991040106,27.170303866025282,-44.07399685837913,4.290782993243194e-20
1786497122.0650294,resting,fast,1786497121.65051,-589.3030434527286,-366.0668241481882,833.7772874330349,27.455011811114534,-44.197728258954804,4.279926933396154e-20
1786497122.065789,resting,fast,1786497121.65051,-592.7856542857712,-366.9691798728944,845.2598312432629,27.522688490467505,-44.45892407143301,4.391024437758169e-20
1786497122.0665402,resting,fast,1786497121.65051,-591.2696027632801,-368.0731168130766,842.3634658065175,27.605483760981304,-44.345220207246186,4.366587308398754e-20
1786497122.080704,resting,fast,1786497121.65051,-592.882946531151,-363.32222410875136,843.306376586911,27.24916680815682,-44.46622098983645,4.3667033206406217e-20
1786497122.1115346,resting,fast,1786497121.65051,-590.3911956820907,-364.125460722266,842.1637554065192,27.309409554170376,-44.279339676156965,4.36704226759173e-20
1786497122.1376665,resting,fast,1786497121.65051,-593.3616651325497,-365.121077343554,854.4592969204896,27.38408080076697,-44.50212488494152,4.4603980836118935e-20
1786497122.1661687,resting,fast,1786497121.65051,-591.3547136730199,-365.65847995431307,852.4595190393793,27.424385996573857,-44.351603525476754,4.449529694073044e-20
1786497122.1943262,resting,fast,1786497121.65051,-590.4107783262157,-364.3650372103142,847.7989601729487,27.327377790774012,-44.28080837446616,4.4122369687573175e-20
1786497122.2229915,resting,fast,1786497121.65051,-588.3675811409857,-362.27647520492474,838.68506271562,27.17073564036969,-44.12756858557416,4.375046095461845e-20
1786497122.2511637,resting,fast,1786497121.65051,-586.640250307918,-360.8954717242402,832.0469147755621,27.06716037931864,-43.9980187730942,4.38292653357727e-20
1786497122.2794688,resting,fast,1786497121.65051,-587.8506697904459,-362.11552223685715,829.5109283549291,27.158664167764766,-44.08880023428356,4.374862942895686e-20
1786497122.3091013,resting,fast,1786497121.65051,-585.4864453204809,-361.26656210939984,827.5118614438315,27.09499215820553,-43.911483399036264,4.3115651120896497e-20
1786497122.3362923,resting,fast,1786497121.65051,-587.1227808400813,-365.30608790004146,831.6093424005012,27.39795659250343,-44.03420856300621,4.335505845984943e-20
1786497122.364643,resting,fast,1786497121.65051,-587.1355002129353,-364.25037384193945,833.3733015054249,27.31877803814592,-44.03516251597025,4.2997789052936906e-20
1786497122.3929944,resting,fast,1786497121.65051,-588.4100740578347,-364.99004801530293,831.9046271161451,27.374253601148187,-44.13075555433761,4.320156051389851e-20
1786497122.4213402,resting,fast,1786497121.65051,-587.982411411816,-364.5809322115733,830.307128592176,27.343569915868425,-44.09868085588639,4.294071534791215e-20
1786497122.4497414,resting,fast,1786497121.65051,-587.4386616338552,-363.622825619782,832.3506429867948,27.27171192148411,-44.0578996225393,4.340068144725059e-20
1786497122.478265,resting,fast,1786497121.65051,-587.4978922826194,-363.7186524778102,833.5568999319248,27.278898935836178,-44.06234192119668,4.352870884549753e-20
1786497122.507485,resting,fast,1786497121.65051,-587.4763028053221,-359.44108362029385,832.3355295976535,26.95808127152245,-44.06072271039923,4.303558955088357e-20
1786497122.5349593,resting,fast,1786497121.65051,-591.2956333878728,-364.3077556269669,835.9516958347695,27.323081672022898,-44.347172504090594,4.304480805452754e-20
1786497122.5631537,resting,fast,1786497121.65051,-592.8395544473206,-364.75714627255854,842.8947794968481,27.3567859704423,-44.46296658354933,4.314031241325934e-20
1786497122.591394,resting,fast,1786497121.65051,-592.4629345961434,-366.4209503390557,842.1248247091771,27.48157127542955,-44.434720094710904,4.3174271474265774e-20
1786497122.6197991,resting,fast,1786497121.65051,-590.0381659711361,-361.11125026908087,836.8433845925692,27.083343770181532,-44.252862447835334,4.27743911191314e-20
1786497122.6482372,resting,fast,1786497121.65051,-589.4502891433985,-362.49711126399836,833.0677579026142,27.187283344800267,-44.20877168575511,4.300655763741165e-20
1786497122.6767232,resting,fast,1786497121.65051,-589.9353000576352,-364.7904398261959,833.4998747091013,27.359282986965145,-44.24514750432269,4.3506609189939533e-20
1786497122.7051702,resting,fast,1786497121.65051,-588.2999459447251,-367.11243133859034,832.2012954855481,27.533432350394673,-44.122495945854574,4.321782520573796e-20
1786497122.7334764,resting,fast,1786497121.65051,-588.7877107329268,-365.0760586226031,836.4518861999322,27.3807043966959,-44.15907830496976,4.30550097322286e-20
1786497122.7618244,resting,fast,1786497121.65051,-590.8832359633461,-365.1293781237795,841.8487466890374,27.38470335928383,-44.31624269725118,4.313938872340817e-20
1786497122.7901914,resting,fast,1786497121.65051,-591.7173934407429,-365.09039132971805,840.2508034021585,27.381779349729232,-44.378804508055964,4.335254665974452e-20
1786497122.818609,resting,fast,1786497121.65051,-591.7165506015258,-368.33729850010945,836.6802929667101,27.625297387508713,-44.37874129511466,4.3341041263031347e-20
1786497122.8469045,resting,fast,1786497121.65051,-590.16522473949,-368.72269202086693,836.0127170499936,27.654201901565603,-44.262391855462056,4.3530012284078644e-20
1786497122.8758433,resting,fast,1786497121.65051,-591.1827844791551,-368.588829326266,841.5020763266602,27.644162199470333,-44.338708835936885,4.4306691725968734e-20
1786497122.903949,resting,fast,1786497121.65051,-591.2520661130638,-365.8435190636163,844.0733065777395,27.43826392977179,-44.34390495847979,4.4374180874776933e-20
1786497122.9324226,resting,fast,1786497121.65051,-591.2252428342445,-364.3416744769936,845.6392367062554,27.32562558577479,-44.341893212568465,4.4509845501758175e-20
1786497122.960668,resting,fast,1786497121.65051,-590.7376073664482,-363.1495526764612,844.0764119091691,27.236216450735103,-44.30532055248356,4.396738800679201e-20
1786497122.9891245,resting,fast,1786497121.65051,-588.7809118709115,-362.437964008246,838.3044498204699,27.182847300618786,-44.15856839031854,4.412017863194453e-20
1786497123.0173025,resting,fast,1786497121.65051,-587.2830600848038,-360.4964918083989,834.0680358163345,27.037236885630367,-44.04622950636034,4.3741395458774324e-20
1786497123.0459964,resting,fast,1786497121.65051,-587.8196452876141,-361.50807987519386,836.3431696342586,27.11310599063999,-44.08647339657124,4.3908740748401734e-20
