id,label,session_type,start_ts,end_ts
1,resting,fast,1786492948.8101642,1786492962.3874185
2,push +X,fast,1786492962.3874185,1786492971.0695288
3,push -X,fast,1786492971.0695288,1786492980.5997236
4,resting,fast,1786492980.5997236,1786492982.6807556
5,push +Y,fast,1786492982.6807556,1786492992.7502003
6,resting,fast,1786492992.7502003,1786492993.3800054
7,push -Y,fast,1786492993.3800054,1786493003.9567485
8,resting,fast,1786493003.9567485,1786493054.1117208
9,push -Z,fast,1786493054.1117208,1786493074.3105202
10,resting,fast,1786493074.3105202,1786493075.1680963
11,push +Z,fast,1786493075.1680963,1786493082.255807
12,resting,fast,1786493082.255807,1786493082.8199594
13,push -Y,fast,1786493082.8199594,1786493089.3845534
14,resting,fast,1786493089.3845534,1786493092.7261136
15,twist +X,fast,1786493092.7261136,1786493118.7792196
16,resting,fast,1786493118.7792196,1786493119.3752744
17,twist -X,fast,1786493119.3752744,1786493125.045728
18,resting,fast,1786493125.045728,1786493126.1702967
19,twist +Y,fast,1786493126.1702967,1786493140.3479426
20,resting,fast,1786493140.3479426,1786493140.3808048
21,resting,fast,1786493140.3808048,1786493142.1700196
22,twist -Y,fast,1786493142.1700196,1786493154.5950286
23,resting,fast,1786493154.5950286,1786493155.0900216
24,twist +Z,fast,1786493155.0900216,1786493168.907225
25,twist -Z,fast,1786493168.907225,1786493181.3671315
26,resting,fast,1786493181.3671315,1786493185.87487
