ts,label,session_type,experiment_start_ts,fx,fy,fz,mx,my,mz
1786737544.4808435,resting,fast,1786737544.1955934,-472.31686931358036,-187.31993708660593,711.8633192809575,14.04899528149561,-35.423765198518645,7.017098172364476e-20
1786737544.4859457,resting,fast,1786737544.1955934,-468.4837108437614,-183.68055403489677,708.3919526268583,13.776041552617624,-35.136278313282176,6.925297076082213e-20
1786737544.4871504,resting,fast,1786737544.1955934,-470.26021551002304,-182.49110153729293,712.848455632653,13.68683261529728,-35.26951616325188,6.975937554975199e-20
1786737544.487942,resting,fast,1786737544.1955934,-467.7430394665462,-178.0017564397118,712.3318035141738,13.35013173297867,-35.08072795999121,6.92011327618407e-20
1786737544.4949791,resting,fast,1786737544.1955934,-471.35769547935524,-178.6455210458994,730.1684649671924,13.398414078442524,-35.3518271609518,7.06649986396601e-20
1786737544.4971821,resting,fast,1786737544.1955934,-469.7319956401925,-180.2444027720394,725.4692432083257,13.518330207903094,-35.22989967301463,6.98715942652232e-20
1786737544.4980853,resting,fast,1786737544.1955934,-473.860151825515,-182.92797573324492,730.3124206980556,13.71959817999345,-35.53951138691384,7.052097751524176e-20
1786737544.5257337,resting,fast,1786737544.1955934,-475.6710062699194,-184.21466946250985,724.2633872821589,13.816100209688532,-35.67532547024424,6.934396780702083e-20
1786737544.552701,resting,fast,1786737544.1955934,-476.2840092693209,-183.18735445678965,743.4958637109903,13.73905158425941,-35.72130069519935,7.06971465484149e-20
1786737544.5813253,resting,fast,1786737544.1955934,-473.89377999916087,-184.37491489657953,738.507097267141,13.828118617243614,-35.54203349993746,7.035117933596214e-20
1786737544.6095338,resting,fast,1786737544.1955934,-470.4941253312513,-183.60450004210963,739.4664990388319,13.77033750315847,-35.28705939984407,7.089979258467791e-20
1786737544.6379747,resting,fast,1786737544.1955934,-470.5200740654791,-183.58370640503256,723.6688083854442,13.768777980377568,-35.28900555491114,6.997714285422243e-20
1786737544.666602,resting,fast,1786737544.1955934,-470.94201186727105,-183.43239882978355,727.4486105468095,13.757429912234027,-35.32065089004561,6.986642613699053e-20
