id,label,session_type,start_ts,end_ts
1,resting,fast,1786496844.4721546,1786496861.0031235
2,push +X,fast,1786496861.0031235,1786496882.6322982
3,push -X,fast,1786496882.6322982,1786496891.535269
4,push +Y,fast,1786496891.535269,1786496915.1615531
5,push -Y,fast,1786496915.1615531,1786496921.6874726
6,push +Z,fast,1786496921.6874726,1786496933.7914307
7,push -Z,fast,1786496933.7914307,1786496949.1282647
8,twist +X,fast,1786496949.1282647,1786496963.008386
9,twist -X,fast,1786496963.008386,1786496972.7790906
10,twist +Y,fast,1786496972.7790906,1786496983.8431315
11,twist -Y,fast,1786496983.8431315,1786496998.2893176
12,twist +Z,fast,1786496998.2893176,1786497013.2984478
13,twist -Z,fast,1786497013.2984478,1786497029.4438987
14,resting,fast,1786497029.4438987,1786497030.3478572
