id,label,session_type,start_ts,end_ts
1,resting,fast,1786490917.042172,1786490951.531658
2,push +X,fast,1786490951.531658,1786490980.295998
3,resting,fast,1786490980.295998,1786490986.6904423
4,push -X,fast,1786490986.6904423,1786490998.0572622
5,resting,fast,1786490998.0572622,1786491003.1878722
6,push +Y,fast,1786491003.1878722,1786491020.032939
7,resting,fast,1786491020.032939,1786491029.0031967
8,push -Y,fast,1786491029.0031967,1786491035.370942
9,resting,fast,1786491035.370942,1786491040.1084747
10,push +Z,fast,1786491040.1084747,1786491053.1688116
11,resting,fast,1786491053.1688116,1786491058.3040314
12,push -Z,fast,1786491058.3040314,1786491077.4676008
13,resting,fast,1786491077.4676008,1786491099.169466
14,twist +X,fast,1786491099.169466,1786491126.849378
15,resting,fast,1786491126.849378,1786491130.1989527
16,twist -X,fast,1786491130.1989527,1786491138.5891235
17,resting,fast,1786491138.5891235,1786491148.1104765
18,twist +Y,fast,1786491148.1104765,1786491170.7625265
19,resting,fast,1786491170.7625265,1786491173.0489492
20,twist -Y,fast,1786491173.0489492,1786491179.6372209
21,resting,fast,1786491179.6372209,1786491182.2175112
22,twist +Z,fast,1786491182.2175112,1786491196.2664914
23,resting,fast,1786491196.2664914,1786491199.0189893
24,twist -Z,fast,1786491199.0189893,1786491205.343436
25,resting,fast,1786491205.343436,1786491233.1946356
