ts,label,session_type,experiment_start_ts,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
1786733737.9522872,resting,fast,1786733737.7779894,13958.0,13477.0,13511.0,14149.0,13940.0,13544.0,13483.0,13820.0,13319.0,13460.0,13798.0,13722.0,13641.0,13835.0,13798.0,13496.0
1786733738.107629,resting,fast,1786733737.7779894,13954.0,13470.5,13512.0,14148.0,13934.0,13540.0,13484.5,13819.5,13318.5,13458.5,13800.5,13719.0,13648.5,13832.5,13801.5,13493.0
1786733738.1091664,resting,fast,1786733737.7779894,13953.666666666666,13467.333333333334,13512.0,14152.666666666666,13935.333333333334,13537.333333333334,13483.0,13824.333333333334,13319.0,13455.666666666666,13799.666666666666,13719.333333333334,13649.333333333334,13830.666666666666,13798.333333333334,13491.333333333334
1786733738.1115232,resting,fast,1786733737.7779894,13954.333333333334,13466.333333333334,13513.0,14155.666666666666,13936.666666666666,13536.0,13483.333333333334,13825.666666666666,13321.333333333334,13453.666666666666,13800.0,13720.666666666666,13653.666666666666,13826.333333333334,13799.666666666666,13492.0
1786733738.1126444,resting,fast,1786733737.7779894,13956.0,13469.0,13509.666666666666,14162.0,13937.0,13536.333333333334,13481.0,13829.333333333334,13316.333333333334,13452.666666666666,13798.0,13723.0,13647.333333333334,13826.0,13796.666666666666,13492.666666666666
1786733738.1204178,resting,fast,1786733737.7779894,13954.333333333334,13474.333333333334,13510.333333333334,14164.0,13935.0,13536.0,13482.333333333334,13828.333333333334,13315.333333333334,13451.666666666666,13798.0,13724.0,13646.333333333334,13828.666666666666,13800.666666666666,13495.333333333334
1786733738.122366,resting,fast,1786733737.7779894,13950.0,13475.0,13505.0,14162.0,13933.666666666666,13536.0,13474.333333333334,13825.333333333334,13313.0,13451.666666666666,13793.0,13718.666666666666,13643.666666666666,13832.333333333334,13798.333333333334,13491.333333333334
1786733738.127842,resting,fast,1786733737.7779894,13945.666666666666,13470.0,13506.666666666666,14155.333333333334,13930.666666666666,13528.333333333334,13475.333333333334,13817.333333333334,13314.666666666666,13445.666666666666,13791.0,13705.0,13642.0,13829.333333333334,13796.333333333334,13482.0
1786733738.156498,resting,fast,1786733737.7779894,13949.333333333334,13469.0,13503.666666666666,14151.0,13934.333333333334,13532.333333333334,13473.0,13811.0,13317.333333333334,13449.0,13789.0,13702.333333333334,13643.666666666666,13828.333333333334,13795.0,13481.0
1786733738.1848457,resting,fast,1786733737.7779894,13949.0,13470.666666666666,13507.333333333334,14154.666666666666,13931.0,13534.333333333334,13480.333333333334,13817.0,13316.666666666666,13450.666666666666,13793.333333333334,13706.0,13644.0,13829.333333333334,13795.0,13483.666666666666
1786733738.2131891,resting,fast,1786733737.7779894,13954.333333333334,13474.666666666666,13504.0,14163.0,13938.0,13540.666666666666,13476.666666666666,13826.666666666666,13322.0,13454.333333333334,13796.666666666666,13720.666666666666,13652.0,13831.666666666666,13799.333333333334,13495.666666666666
1786733738.2414763,resting,fast,1786733737.7779894,13953.333333333334,13475.666666666666,13508.0,14165.333333333334,13935.0,13540.0,13479.0,13829.666666666666,13319.0,13450.333333333334,13799.666666666666,13719.333333333334,13650.333333333334,13829.333333333334,13799.666666666666,13487.333333333334
1786733738.2697945,resting,fast,1786733737.7779894,13955.0,13472.333333333334,13509.0,14167.333333333334,13938.333333333334,13536.666666666666,13479.333333333334,13832.333333333334,13321.0,13445.0,13799.666666666666,13721.666666666666,13652.333333333334,13823.333333333334,13803.0,13488.666666666666
1786733738.2984412,resting,fast,1786733737.7779894,13951.666666666666,13474.666666666666,13514.666666666666,14165.666666666666,13936.0,13539.666666666666,13484.0,13833.333333333334,13320.333333333334,13448.666666666666,13801.0,13721.333333333334,13652.0,13825.666666666666,13803.333333333334,13488.333333333334
1786733738.3266242,resting,fast,1786733737.7779894,13949.666666666666,13473.0,13511.333333333334,14165.666666666666,13937.333333333334,13539.666666666666,13481.666666666666,13838.666666666666,13322.333333333334,13452.666666666666,13797.666666666666,13726.0,13653.333333333334,13830.0,13803.0,13499.333333333334
1786733738.3551626,resting,fast,1786733737.7779894,13953.0,13474.666666666666,13510.666666666666,14166.333333333334,13938.333333333334,13540.666666666666,13477.666666666666,13837.333333333334,13322.666666666666,13457.333333333334,13795.0,13721.666666666666,13653.333333333334,13834.333333333334,13802.0,13493.666666666666
1786733738.3844786,resting,fast,1786733737.7779894,13954.0,13472.666666666666,13510.333333333334,14165.666666666666,13940.333333333334,13540.333333333334,13478.0,13833.333333333334,13322.0,13456.666666666666,13793.666666666666,13721.0,13652.0,13833.0,13803.0,13491.666666666666
1786733738.4119074,resting,fast,1786733737.7779894,13954.666666666666,13473.666666666666,13512.333333333334,14164.0,13941.0,13541.333333333334,13479.333333333334,13830.333333333334,13320.666666666666,13456.666666666666,13795.0,13721.333333333334,13649.333333333334,13830.666666666666,13803.0,13489.333333333334
1786733738.4402583,resting,fast,1786733737.7779894,13952.666666666666,13473.333333333334,13514.333333333334,14163.333333333334,13938.333333333334,13542.666666666666,13484.0,13829.666666666666,13317.666666666666,13457.0,13800.0,13724.333333333334,13646.333333333334,13831.333333333334,13802.333333333334,13493.333333333334
1786733738.4686723,resting,fast,1786733737.7779894,13953.0,13474.333333333334,13512.666666666666,14165.0,13939.0,13539.0,13481.333333333334,13834.666666666666,13319.0,13454.666666666666,13798.666666666666,13725.0,13647.666666666666,13832.333333333334,13800.0,13494.333333333334
1786733738.4972022,resting,fast,1786733737.7779894,13954.666666666666,13471.0,13512.666666666666,14168.0,13940.333333333334,13535.333333333334,13482.333333333334,13839.0,13322.333333333334,13453.0,13800.666666666666,13725.333333333334,13651.0,13832.333333333334,13802.333333333334,13496.0
1786733738.5258794,resting,fast,1786733737.7779894,13956.0,13469.0,13511.0,14166.666666666666,13941.666666666666,13533.333333333334,13480.333333333334,13834.333333333334,13324.333333333334,13450.333333333334,13797.666666666666,13721.0,13653.666666666666,13829.666666666666,13797.333333333334,13494.666666666666
1786733738.5538044,resting,fast,1786733737.7779894,13957.333333333334,13469.333333333334,13512.666666666666,14161.333333333334,13941.0,13534.666666666666,13482.333333333334,13830.333333333334,13325.0,13450.333333333334,13799.333333333334,13721.333333333334,13653.0,13827.333333333334,13799.0,13494.333333333334
1786733738.5825794,resting,fast,1786733737.7779894,13953.333333333334,13473.333333333334,13512.333333333334,14161.666666666666,13940.333333333334,13538.0,13482.0,13827.0,13322.0,13451.666666666666,13799.0,13720.333333333334,13649.0,13828.0,13797.333333333334,13492.666666666666
1786733738.6107283,resting,fast,1786733737.7779894,13952.666666666666,13476.666666666666,13512.0,14162.0,13941.0,13540.333333333334,13481.666666666666,13829.666666666666,13323.666666666666,13454.333333333334,13799.666666666666,13724.333333333334,13650.0,13830.333333333334,13801.0,13496.0
1786733738.639091,resting,fast,1786733737.7779894,13949.666666666666,13476.333333333334,13510.666666666666,14167.0,13939.333333333334,13543.666666666666,13480.0,13830.333333333334,13321.333333333334,13456.333333333334,13799.333333333334,13724.0,13650.666666666666,13831.333333333334,13800.0,13497.0
1786733738.667627,resting,fast,1786733737.7779894,13952.666666666666,13472.333333333334,13508.333333333334,14168.0,13939.0,13542.666666666666,13476.666666666666,13832.666666666666,13322.666666666666,13457.333333333334,13796.666666666666,13724.333333333334,13655.333333333334,13832.333333333334,13800.0,13498.333333333334
1786733738.6961539,resting,fast,1786733737.7779894,13950.666666666666,13470.0,13507.0,14169.0,13938.333333333334,13541.0,13476.666666666666,13836.0,13322.0,13456.0,13796.0,13723.666666666666,13655.333333333334,13831.666666666666,13800.333333333334,13497.0
1786733738.7243946,resting,fast,1786733737.7779894,13953.666666666666,13471.0,13504.333333333334,14167.0,13940.666666666666,13540.666666666666,13476.333333333334,13837.666666666666,13324.333333333334,13456.666666666666,13795.0,13724.0,13654.0,13833.666666666666,13799.0,13495.666666666666
1786733738.7529638,resting,fast,1786733737.7779894,13951.0,13474.0,13507.0,14166.0,13941.333333333334,13539.333333333334,13479.666666666666,13835.666666666666,13325.0,13455.333333333334,13798.0,13724.333333333334,13651.666666666666,13832.666666666666,13799.0,13493.0
