id,label,session_type,start_ts,end_ts
1,resting,fast,1786731998.9654784,1786732007.4428713
2,push +X,fast,1786732007.4428713,1786732063.155577
3,push -X,fast,1786732063.155577,1786732086.546554
4,push +Y,fast,1786732086.546554,1786732162.7535493
5,push -Y,fast,1786732162.7535493,1786732220.321267
6,push +Z,fast,1786732220.321267,1786732277.1829631
7,push +Z,fast,1786732277.1829631,1786732277.415637
8,push -Z,fast,1786732277.415637,1786732344.5997784
9,twist +X,fast,1786732344.5997784,1786732389.1182616
10,twist -X,fast,1786732389.1182616,1786732416.326591
11,twist +Y,fast,1786732416.326591,1786732457.9975386
12,twist -Y,fast,1786732457.9975386,1786732507.263624
13,twist +Z,fast,1786732507.263624,1786732583.9496946
14,twist -Z,fast,1786732583.9496946,1786732587.4263554
15,twist -Z,fast,1786732587.4263554,1786732587.5928226
16,twist -Z,fast,1786732587.5928226,1786732630.000282
