id,label,session_type,start_ts,end_ts
1,resting,fast,1786737544.1955934,1786737572.5183675
2,push +X,fast,1786737572.5183675,1786737601.7211843
3,push -X,fast,1786737601.7211843,1786737603.4773319
4,resting,fast,1786737603.4773319,1786737607.1888084
5,push -X,fast,1786737607.1888084,1786737623.3524675
6,resting,fast,1786737623.3524675,1786737632.0192642
7,push +Y,fast,1786737632.0192642,1786737654.1472778
8,resting,fast,1786737654.1472778,1786737659.3870423
9,push -Y,fast,1786737659.3870423,1786737685.289563
10,resting,fast,1786737685.289563,1786737690.3549325
11,push +Z,fast,1786737690.3549325,1786737717.1024752
12,resting,fast,1786737717.1024752,1786737717.4675012
13,push -Z,fast,1786737717.4675012,1786737729.3183348
14,resting,fast,1786737729.3183348,1786737734.2296805
