ts,label,session_type,experiment_start_ts,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
1787167659.0178173,resting,fast,1787167658.852027,21440.0,20437.0,19947.0,20605.0,21269.0,20687.0,19902.0,19994.0,19937.0,19938.0,20403.0,20773.0,19935.0,21098.0,21231.0,19891.0
1787167659.0193038,resting,fast,1787167658.852027,21437.5,20429.5,19944.5,20606.0,21264.5,20686.5,19900.5,19995.0,19931.0,19937.5,20400.5,20772.5,19923.5,21095.5,21227.0,19890.0
1787167659.0202804,resting,fast,1787167658.852027,21437.0,20430.666666666668,19943.666666666668,20603.333333333332,21263.0,20687.333333333332,19900.666666666668,19993.666666666668,19930.666666666668,19937.666666666668,20400.666666666668,20769.666666666668,19922.0,21095.666666666668,21226.0,19889.666666666668
1787167659.0210357,resting,fast,1787167658.852027,21436.0,20429.666666666668,19941.333333333332,20601.333333333332,21260.0,20686.666666666668,19896.333333333332,19992.0,19928.333333333332,19936.333333333332,20391.666666666668,20767.333333333332,19918.666666666668,21093.666666666668,21219.0,19888.333333333332
1787167659.0217524,resting,fast,1787167658.852027,21436.333333333332,20432.333333333332,19941.333333333332,20596.0,21260.333333333332,20686.666666666668,19896.0,19984.333333333332,19929.333333333332,19935.0,20392.0,20761.0,19921.0,21093.666666666668,21219.333333333332,19882.666666666668
1787167659.0224042,resting,fast,1787167658.852027,21434.0,20429.0,19940.0,20594.666666666668,21259.333333333332,20682.666666666668,19894.333333333332,19980.0,19928.333333333332,19932.0,20389.333333333332,20758.333333333332,19922.0,21090.666666666668,21219.0,19877.333333333332
1787167659.0230727,resting,fast,1787167658.852027,21429.0,20425.0,19939.666666666668,20594.333333333332,21253.666666666668,20680.333333333332,19896.0,19978.333333333332,19922.0,19929.333333333332,20393.333333333332,20758.0,19917.0,21089.666666666668,21221.333333333332,19877.333333333332
1787167659.0243077,resting,fast,1787167658.852027,21428.333333333332,20427.666666666668,19941.0,20597.0,21253.0,20681.0,19897.666666666668,19984.0,19921.0,19932.666666666668,20392.0,20763.666666666668,19919.666666666668,21092.333333333332,21222.0,19883.0
1787167659.0274885,resting,fast,1787167658.852027,21429.666666666668,20430.666666666668,19940.666666666668,20597.333333333332,21254.0,20684.0,19897.0,19987.666666666668,19921.333333333332,19934.0,20393.333333333332,20768.333333333332,19920.333333333332,21092.666666666668,21222.333333333332,19887.333333333332
1787167659.0282428,resting,fast,1787167658.852027,21424.666666666668,20433.333333333332,19939.666666666668,20596.0,21253.0,20684.666666666668,19898.333333333332,19987.333333333332,19921.666666666668,19934.333333333332,20395.333333333332,20766.666666666668,19924.0,21090.666666666668,21223.666666666668,19885.333333333332
1787167659.0289524,resting,fast,1787167658.852027,21418.666666666668,20426.0,19931.0,20593.666666666668,21245.0,20676.666666666668,19887.666666666668,19981.666666666668,19914.333333333332,19923.333333333332,20389.0,20759.0,19916.666666666668,21081.666666666668,21216.333333333332,19876.0
1787167659.033589,resting,fast,1787167658.852027,21408.333333333332,20420.666666666668,19930.666666666668,20594.666666666668,21237.333333333332,20673.666666666668,19887.666666666668,19976.333333333332,19908.333333333332,19921.666666666668,20386.333333333332,20751.0,19911.333333333332,21081.333333333332,21216.666666666668,19868.666666666668
1787167659.044879,resting,fast,1787167658.852027,21414.666666666668,20414.666666666668,19933.333333333332,20595.666666666668,21240.0,20671.0,19888.0,19977.666666666668,19908.333333333332,19922.0,20388.666666666668,20752.666666666668,19905.333333333332,21084.666666666668,21220.0,19870.666666666668
1787167659.0560033,resting,fast,1787167658.852027,21415.0,20420.0,19940.666666666668,20598.0,21242.666666666668,20677.666666666668,19898.333333333332,19982.666666666668,19912.666666666668,19929.666666666668,20394.666666666668,20759.666666666668,19908.0,21092.0,21228.0,19879.666666666668
1787167659.0670497,resting,fast,1787167658.852027,21424.333333333332,20425.333333333332,19942.333333333332,20597.666666666668,21250.333333333332,20681.666666666668,19899.666666666668,19987.0,19919.0,19933.0,20398.0,20767.666666666668,19912.666666666668,21098.666666666668,21230.0,19889.0
