id,label,session_type,start_ts,end_ts
1,resting,fast,1786733737.7779894,1786733742.7581818
2,push +X,fast,1786733742.7581818,1786733863.894125
3,push -X,fast,1786733863.894125,1786733904.454299
4,push -Y,fast,1786733904.454299,1786733971.4520955
5,push -Y,fast,1786733971.4520955,1786733972.0853565
6,push -Y,fast,1786733972.0853565,1786733972.4172862
7,push +Y,fast,1786733972.4172862,1786733972.7503674
8,push -Y,fast,1786733972.7503674,1786734001.2830653
9,push -Y,fast,1786734001.2830653,1786734003.2359653
10,push +Z,fast,1786734003.2359653,1786734028.1190262
11,push -Z,fast,1786734028.1190262,1786734052.1515124
12,twist +X,fast,1786734052.1515124,1786734079.1862645
13,twist -X,fast,1786734079.1862645,1786734097.5620208
14,twist +Y,fast,1786734097.5620208,1786734156.0366642
15,twist -Y,fast,1786734156.0366642,1786734180.591579
16,twist +Z,fast,1786734180.591579,1786734218.357793
17,twist -Z,fast,1786734218.357793,1786734247.5740342
