id,label,session_type,start_ts,end_ts
1,resting,fast,1786736921.0942347,1786736936.9622536
2,twist +X,fast,1786736936.9622536,1786736956.034645
3,twist -X,fast,1786736956.034645,1786736966.999757
4,twist +Y,fast,1786736966.999757,1786736985.4691272
5,twist -Y,fast,1786736985.4691272,1786736998.713154
6,resting,fast,1786736998.713154,1786737004.1849456
7,twist +Z,fast,1786737004.1849456,1786737027.0145752
8,resting,fast,1786737027.0145752,1786737028.6370847
9,twist -Z,fast,1786737028.6370847,1786737043.6875062
10,resting,fast,1786737043.6875062,1786737046.145121
