id,label,session_type,start_ts,end_ts
1,resting,fast,1786742066.5868006,1786742078.0157552
2,twist +X,fast,1786742078.0157552,1786742130.4912565
3,push -X,fast,1786742130.4912565,1786742132.2465942
4,twist -X,fast,1786742132.2465942,1786742151.2637174
5,resting,fast,1786742151.2637174,1786742157.4160602
6,twist +Y,fast,1786742157.4160602,1786742178.9911869
7,resting,fast,1786742178.9911869,1786742185.3102584
8,twist -Y,fast,1786742185.3102584,1786742205.4562376
9,resting,fast,1786742205.4562376,1786742213.1919982
10,twist +Z,fast,1786742213.1919982,1786742254.4462273
11,resting,fast,1786742254.4462273,1786742257.7543595
12,twist -Z,fast,1786742257.7543595,1786742280.5643747
13,resting,fast,1786742280.5643747,1786742288.0939229
