id,label,session_type,start_ts,end_ts
1,resting,fast,1786497121.65051,1786497139.6847777
2,push +X,fast,1786497139.6847777,1786497154.1731167
3,push -X,fast,1786497154.1731167,1786497163.6515963
4,push +Y,fast,1786497163.6515963,1786497174.9057791
5,push -Y,fast,1786497174.9057791,1786497175.2359722
6,push -Y,fast,1786497175.2359722,1786497184.9218483
7,push +Z,fast,1786497184.9218483,1786497192.4084716
8,push -Z,fast,1786497192.4084716,1786497206.2102807
9,twist +X,fast,1786497206.2102807,1786497230.7371018
10,twist -X,fast,1786497230.7371018,1786497238.0562115
11,twist +Y,fast,1786497238.0562115,1786497246.9799888
12,twist -Y,fast,1786497246.9799888,1786497258.4460614
13,twist +Z,fast,1786497258.4460614,1786497280.57376
14,twist -Z,fast,1786497280.57376,1786497293.9398458
