id,label,session_type,start_ts,end_ts
1,resting,fast,1787168045.445006,1787168098.986668
2,twist +X,fast,1787168098.986668,1787168161.4238486
3,resting,fast,1787168161.4238486,1787168194.3610964
4,twist +X,fast,1787168194.3610964,1787168263.3486147
5,resting,fast,1787168263.3486147,1787168312.6379187
6,twist +X,fast,1787168312.6379187,1787168360.809411
7,resting,fast,1787168360.809411,1787168488.8099294
8,twist +X,fast,1787168488.8099294,1787168535.929014
9,resting,fast,1787168535.929014,1787168555.7342005
