id,label,session_type,start_ts,end_ts
1,resting,fast,1786734933.3503866,1786734941.91568
2,push +X,fast,1786734941.91568,1786734964.2082434
3,push -X,fast,1786734964.2082434,1786734981.1373022
4,resting,fast,1786734981.1373022,1786734987.6314416
5,push -Y,fast,1786734987.6314416,1786735033.2210493
6,resting,fast,1786735033.2210493,1786735036.0017223
7,push -Y,fast,1786735036.0017223,1786735037.7879364
8,resting,fast,1786735037.7879364,1786735039.573291
9,push +Y,fast,1786735039.573291,1786735050.3471668
10,resting,fast,1786735050.3471668,1786735056.1550443
11,push +Z,fast,1786735056.1550443,1786735076.5287967
12,resting,fast,1786735076.5287967,1786735077.620027
13,push -Z,fast,1786735077.620027,1786735090.8056548
14,resting,fast,1786735090.8056548,1786735092.3018005
15,twist +X,fast,1786735092.3018005,1786735103.5304327
16,resting,fast,1786735103.5304327,1786735107.1430366
17,twist -X,fast,1786735107.1430366,1786735117.7479155
18,resting,fast,1786735117.7479155,1786735120.0314054
19,twist +Y,fast,1786735120.0314054,1786735131.4678373
20,resting,fast,1786735131.4678373,1786735135.7765634
21,twist -Y,fast,1786735135.7765634,1786735148.5300825
22,resting,fast,1786735148.5300825,1786735150.6473448
23,twist +Z,fast,1786735150.6473448,1786735166.149687
24,resting,fast,1786735166.149687,1786735166.4800327
25,twist -Z,fast,1786735166.4800327,1786735177.6297278
26,resting,fast,1786735177.6297278,1786735178.771793
