ts,label,session_type,experiment_start_ts,fx,fy,fz,mx,my,mz
1786494869.127729,resting,fast,1786494868.7904189,-585.7045338581429,-366.7503943239051,808.8304956105003,27.506279574293284,-43.92784003936076,4.3562829252485297e-20
1786494869.131986,resting,fast,1786494868.7904189,-583.0338723570953,-371.58071654793923,813.2150012930178,27.86855374109582,-43.7275404267823,4.2600399834793234e-20
1786494869.1328523,resting,fast,1786494868.7904189,-582.6929037851182,-372.01750621546773,809.54745770105,27.901312966160464,-43.701967783884044,4.180851523601853e-20
1786494869.1336453,resting,fast,1786494868.7904189,-582.3321652952245,-372.87974765589547,810.4674908538336,27.96598107419253,-43.674912397142016,4.1327545749878596e-20
1786494869.134735,resting,fast,1786494868.7904189,-584.3659378373741,-370.4418827042306,814.0244253836881,27.783141202817664,-43.82744533780328,4.1617495055453513e-20
1786494869.1613405,resting,fast,1786494868.7904189,-586.6810200524542,-369.4124434660298,830.550520075406,27.70593325995255,-44.001076503934115,4.2741205188555077e-20
1786494869.1630087,resting,fast,1786494868.7904189,-587.3137032854061,-369.7481365066983,834.0978302567155,27.73111023800273,-44.048527746405604,4.294901632096411e-20
1786494869.1642716,resting,fast,1786494868.7904189,-586.9233009447994,-370.21515997995016,836.4587118622849,27.766136998496695,-44.01924757086007,4.2709201340710774e-20
1786494869.165376,resting,fast,1786494868.7904189,-585.1141385726723,-366.9596061980534,820.6852786096124,27.5219704648545,-43.88356039295049,4.204087690281467e-20
1786494869.1664217,resting,fast,1786494868.7904189,-589.2085806944915,-368.5263732848914,836.5304398245871,27.63947799636733,-44.190643552087195,4.330095118458026e-20
1786494869.1895328,resting,fast,1786494868.7904189,-590.7648320413155,-372.273778997417,836.6345027383313,27.920533424806667,-44.307362403098935,4.37456819254847e-20
1786494869.2181756,resting,fast,1786494868.7904189,-593.3837853773539,-376.88399521247914,847.8398833018091,28.26629964093637,-44.50378390330167,4.44951649701851e-20
1786494869.2463334,resting,fast,1786494868.7904189,-588.8593230650345,-375.5231726794369,831.9314856505871,28.16423795095822,-44.16444922987776,4.2739346162263055e-20
1786494869.2748325,resting,fast,1786494868.7904189,-588.588535557707,-371.9288402233765,833.1125680423547,27.894663016753686,-44.144140166828066,4.242946265967986e-20
1786494869.3030968,resting,fast,1786494868.7904189,-586.9232138540747,-370.86509007489053,833.923309243809,27.814881755617026,-44.01924103905583,4.1909628226781284e-20
1786494869.3316157,resting,fast,1786494868.7904189,-586.9137299660438,-371.38470608368914,834.5739686751122,27.853852956277056,-44.01852974745342,4.229910114643329e-20
1786494869.360114,resting,fast,1786494868.7904189,-586.7302566471017,-371.1783384772872,835.89675533218,27.838375385796876,-44.004769248532924,4.27579698428867e-20
1786494869.3884788,resting,fast,1786494868.7904189,-587.4474790795693,-371.89538405731014,832.9069151645608,27.89215380429852,-44.05856093096787,4.274249092167731e-20
1786494869.4164467,resting,fast,1786494868.7904189,-588.1110820902986,-372.89771490876694,834.1772424182882,27.967328618157982,-44.10833115677263,4.269688771729315e-20
1786494869.444726,resting,fast,1786494868.7904189,-588.1930511097339,-372.1471203242346,834.4481806057702,27.911034024317846,-44.114478833230216,4.289305259846328e-20
1786494869.4732969,resting,fast,1786494868.7904189,-587.2516237688242,-370.29957786958823,832.3508755387729,27.77246834021957,-44.0438717826619,4.29535737454834e-20
1786494869.5018332,resting,fast,1786494868.7904189,-586.9892813086458,-369.16969847424207,833.6912503882222,27.687727385568568,-44.02419609814866,4.29256248191621e-20
1786494869.5301266,resting,fast,1786494868.7904189,-587.2630092004811,-371.5068822753618,831.0834892591856,27.86301617065256,-44.044725690036245,4.2339455741611353e-20
1786494869.5586603,resting,fast,1786494868.7904189,-587.0227257156139,-372.9912918929391,836.1423667246463,27.974346891970814,-44.02670442867112,4.2734307626867684e-20
1786494869.5868475,resting,fast,1786494868.7904189,-587.8869393702735,-374.46022698089917,836.0091809240666,28.084517023567873,-44.091520452770744,4.2942552253066525e-20
