id,label,session_type,start_ts,end_ts
1,resting,fast,1786685234.8044016,1786685244.1593752
2,push +X,fast,1786685244.1593752,1786685380.9393196
3,push +Y,fast,1786685380.9393196,1786685382.201978
4,push -X,fast,1786685382.201978,1786685382.2032804
5,push +Y,fast,1786685382.2032804,1786685403.7736187
6,push -Y,fast,1786685403.7736187,1786685496.39111
7,push +Z,fast,1786685496.39111,1786685582.4022696
8,push -Z,fast,1786685582.4022696,1786685633.5960095
9,twist +X,fast,1786685633.5960095,1786685742.9968588
10,twist -X,fast,1786685742.9968588,1786685801.342673
11,twist +Y,fast,1786685801.342673,1786685890.6470704
12,push +Z,fast,1786685890.6470704,1786685914.9294848
13,push -Z,fast,1786685914.9294848,1786685954.9242246
