id,label,session_type,start_ts,end_ts
1,resting,fast,1786735448.5345504,1786735456.2861757
2,push +X,fast,1786735456.2861757,1786735491.8550131
3,resting,fast,1786735491.8550131,1786735497.1525455
4,push -X,fast,1786735497.1525455,1786735531.3270025
5,resting,fast,1786735531.3270025,1786735537.6921334
6,push +Y,fast,1786735537.6921334,1786735573.6063948
7,resting,fast,1786735573.6063948,1786735577.3482058
8,push -Y,fast,1786735577.3482058,1786735604.7502542
9,resting,fast,1786735604.7502542,1786735605.9083061
10,push +Z,fast,1786735605.9083061,1786735634.9896834
11,resting,fast,1786735634.9896834,1786735638.010766
12,push -Z,fast,1786735638.010766,1786735656.5046592
13,resting,fast,1786735656.5046592,1786735662.2377665
14,twist +X,fast,1786735662.2377665,1786735683.2822728
15,twist -X,fast,1786735683.2822728,1786735700.0031178
16,resting,fast,1786735700.0031178,1786735701.259712
17,twist +Y,fast,1786735701.259712,1786735720.3175416
18,resting,fast,1786735720.3175416,1786735725.62824
19,twist -Y,fast,1786735725.62824,1786735727.3211899
20,twist -Y,fast,1786735727.3211899,1786735754.678159
21,resting,fast,1786735754.678159,1786735757.9860451
22,twist +Z,fast,1786735757.9860451,1786735790.416398
23,resting,fast,1786735790.416398,1786735791.2774544
24,twist -Z,fast,1786735791.2774544,1786735816.9530323
25,resting,fast,1786735816.9530323,1786735823.9231164
