id,label,session_type,start_ts,end_ts
1,resting,fast,1786739951.4553726,1786739968.317222
2,push +X,fast,1786739968.317222,1786740018.4560125
3,push -X,fast,1786740018.4560125,1786740042.2616403
4,resting,fast,1786740042.2616403,1786740053.3147547
5,push +Y,fast,1786740053.3147547,1786740125.4270618
6,push -Y,fast,1786740125.4270618,1786740125.560015
7,push -Y,fast,1786740125.560015,1786740145.0746586
8,resting,fast,1786740145.0746586,1786740145.6388435
9,resting,fast,1786740145.6388435,1786740146.4016724
10,resting,fast,1786740146.4016724,1786740158.4702644
