ts,label,session_type,experiment_start_ts,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
1787278684.6806612,resting,fast,1787278684.5223618,21592.0,20588.0,20093.0,20757.0,21425.0,20838.0,20049.0,20145.0,20086.0,20084.0,20547.0,20922.0,20085.0,21246.0,21368.0,20042.0
1787278684.6828172,resting,fast,1787278684.5223618,21589.5,20586.5,20093.0,20758.0,21423.5,20839.0,20046.0,20144.5,20081.0,20084.5,20546.5,20923.0,20082.0,21252.5,21369.0,20039.0
1787278684.6834748,resting,fast,1787278684.5223618,21588.0,20587.333333333332,20092.666666666668,20757.333333333332,21423.666666666668,20839.0,20045.333333333332,20144.666666666668,20081.0,20084.333333333332,20545.333333333332,20923.0,20082.0,21251.333333333332,21367.333333333332,20038.666666666668
1787278684.684156,resting,fast,1787278684.5223618,21586.0,20585.666666666668,20092.0,20757.0,21422.333333333332,20837.333333333332,20043.666666666668,20144.333333333332,20077.333333333332,20083.0,20543.666666666668,20922.0,20078.666666666668,21251.333333333332,21367.0,20036.0
1787278684.6849403,resting,fast,1787278684.5223618,21582.333333333332,20583.0,20088.333333333332,20751.333333333332,21420.666666666668,20833.333333333332,20043.333333333332,20140.333333333332,20076.333333333332,20078.666666666668,20540.0,20917.0,20077.666666666668,21243.0,21364.666666666668,20034.333333333332
1787278684.6857908,resting,fast,1787278684.5223618,21583.333333333332,20581.0,20086.0,20749.666666666668,21419.0,20830.666666666668,20042.333333333332,20139.666666666668,20075.333333333332,20076.0,20538.333333333332,20915.666666666668,20076.333333333332,21239.333333333332,21364.0,20034.333333333332
1787278684.6893806,resting,fast,1787278684.5223618,21581.333333333332,20579.333333333332,20085.666666666668,20747.333333333332,21416.666666666668,20829.666666666668,20042.0,20136.333333333332,20073.0,20074.666666666668,20538.333333333332,20913.0,20074.0,21240.333333333332,21362.333333333332,20033.333333333332
1787278684.6903055,resting,fast,1787278684.5223618,21583.0,20578.0,20088.0,20749.666666666668,21417.0,20828.333333333332,20043.0,20137.0,20072.666666666668,20075.333333333332,20540.0,20914.333333333332,20073.333333333332,21241.333333333332,21362.666666666668,20032.666666666668
1787278684.6910129,resting,fast,1787278684.5223618,21573.333333333332,20573.0,20090.0,20748.666666666668,21410.0,20825.0,20044.0,20133.666666666668,20064.666666666668,20074.333333333332,20541.666666666668,20909.666666666668,20065.333333333332,21242.333333333332,21363.0,20027.333333333332
1787278684.6932545,resting,fast,1787278684.5223618,21569.333333333332,20568.666666666668,20088.333333333332,20747.0,21405.333333333332,20821.0,20041.666666666668,20133.333333333332,20061.0,20071.0,20538.666666666668,20909.333333333332,20063.333333333332,21239.333333333332,21363.0,20024.0
1787278684.7045913,resting,fast,1787278684.5223618,21566.333333333332,20571.666666666668,20088.666666666668,20746.666666666668,21400.666666666668,20821.333333333332,20040.666666666668,20134.0,20058.0,20070.333333333332,20537.0,20907.333333333332,20061.333333333332,21238.333333333332,21361.333333333332,20023.333333333332
1787278684.7156599,resting,fast,1787278684.5223618,21575.0,20574.333333333332,20088.0,20747.666666666668,21406.333333333332,20823.666666666668,20041.666666666668,20136.333333333332,20064.333333333332,20072.333333333332,20534.0,20911.333333333332,20069.0,21239.333333333332,21361.666666666668,20027.333333333332
1787278684.7266781,resting,fast,1787278684.5223618,21582.0,20580.0,20089.666666666668,20752.333333333332,21413.666666666668,20829.333333333332,20045.666666666668,20140.0,20072.0,20077.666666666668,20534.666666666668,20915.0,20074.0,21242.666666666668,21363.0,20033.333333333332
1787278684.737856,resting,fast,1787278684.5223618,21585.666666666668,20579.666666666668,20091.666666666668,20756.0,21419.333333333332,20832.666666666668,20048.666666666668,20142.333333333332,20076.333333333332,20080.666666666668,20538.666666666668,20919.333333333332,20078.333333333332,21247.0,21366.333333333332,20036.666666666668
1787278684.7494845,resting,fast,1787278684.5223618,21585.666666666668,20584.0,20092.0,20756.333333333332,21422.0,20835.333333333332,20049.666666666668,20143.333333333332,20078.666666666668,20081.666666666668,20542.0,20920.0,20079.333333333332,21248.666666666668,21368.666666666668,20038.0
1787278684.7605894,resting,fast,1787278684.5223618,21583.0,20585.0,20095.0,20756.0,21420.666666666668,20836.333333333332,20050.333333333332,20141.333333333332,20077.333333333332,20082.666666666668,20546.666666666668,20918.333333333332,20079.333333333332,21249.333333333332,21370.666666666668,20037.333333333332
1787278684.7716439,resting,fast,1787278684.5223618,21583.333333333332,20585.666666666668,20094.666666666668,20754.333333333332,21420.0,20836.333333333332,20050.0,20141.666666666668,20078.0,20082.666666666668,20545.666666666668,20917.666666666668,20080.333333333332,21251.0,21371.333333333332,20036.666666666668
1787278684.7827837,resting,fast,1787278684.5223618,21583.666666666668,20583.666666666668,20095.0,20755.333333333332,21419.0,20836.333333333332,20049.666666666668,20141.666666666668,20077.333333333332,20082.666666666668,20548.666666666668,20918.0,20078.666666666668,21250.0,21369.666666666668,20036.666666666668
1787278684.7939355,resting,fast,1787278684.5223618,21585.0,20584.666666666668,20092.0,20754.333333333332,21420.666666666668,20836.0,20048.333333333332,20142.666666666668,20078.0,20080.666666666668,20546.333333333332,20918.666666666668,20079.333333333332,21248.0,21367.666666666668,20036.333333333332
1787278684.8048742,resting,fast,1787278684.5223618,21585.333333333332,20585.333333333332,20090.666666666668,20753.0,21421.666666666668,20837.666666666668,20048.0,20140.333333333332,20077.333333333332,20081.333333333332,20546.0,20919.666666666668,20076.666666666668,21246.666666666668,21364.666666666668,20037.333333333332
1787278684.8160622,resting,fast,1787278684.5223618,21584.333333333332,20585.0,20091.0,20753.0,21420.333333333332,20838.666666666668,20046.666666666668,20139.666666666668,20077.0,20081.333333333332,20542.666666666668,20918.666666666668,20077.0,21247.333333333332,21365.0,20035.0
1787278684.8270802,resting,fast,1787278684.5223618,21584.333333333332,20585.0,20093.0,20753.0,21418.666666666668,20839.0,20047.0,20140.0,20076.333333333332,20083.0,20543.333333333332,20919.0,20076.0,21248.666666666668,21366.0,20035.666666666668
1787278684.8381968,resting,fast,1787278684.5223618,21583.666666666668,20585.333333333332,20094.0,20755.666666666668,21417.666666666668,20837.333333333332,20047.666666666668,20141.333333333332,20076.333333333332,20082.666666666668,20545.333333333332,20917.0,20077.0,21249.333333333332,21369.666666666668,20034.666666666668
1787278684.8488224,resting,fast,1787278684.5223618,21585.0,20586.0,20093.333333333332,20756.333333333332,21419.0,20835.0,20047.333333333332,20143.0,20076.333333333332,20082.666666666668,20546.0,20918.0,20077.0,21249.0,21370.333333333332,20037.333333333332
