id,label,session_type,start_ts,end_ts
1,resting,fast,1786494868.7904189,1786494874.2946515
2,push +X,fast,1786494874.2946515,1786494894.1395166
3,push -X,fast,1786494894.1395166,1786494918.602873
4,resting,fast,1786494918.602873,1786494919.7907484
5,push +Y,fast,1786494919.7907484,1786494934.5190737
6,push -Y,fast,1786494934.5190737,1786494949.4950726
7,push +Z,fast,1786494949.4950726,1786494965.1120088
8,push -Z,fast,1786494965.1120088,1786494982.4966474
9,resting,fast,1786494982.4966474,1786494984.154841
10,twist +X,fast,1786494984.154841,1786494998.8106556
11,twist -X,fast,1786494998.8106556,1786495015.5220995
12,twist +Y,fast,1786495015.5220995,1786495029.3199406
13,twist -Y,fast,1786495029.3199406,1786495043.623224
14,twist +Z,fast,1786495043.623224,1786495055.9142375
15,twist -Z,fast,1786495055.9142375,1786495078.661745
16,twist +Z,fast,1786495078.661745,1786495085.2112236
17,resting,fast,1786495085.2112236,1786495088.117413
