id,label,session_type,start_ts,end_ts
1,resting,fast,1786730204.402794,1786730211.3374841
2,push +X,fast,1786730211.3374841,1786730333.6294816
3,push -X,fast,1786730333.6294816,1786730367.0571167
4,push +Y,fast,1786730367.0571167,1786730408.3940606
5,push -X,fast,1786730408.3940606,1786730409.818902
6,push -Y,fast,1786730409.818902,1786730454.6955457
7,push +Z,fast,1786730454.6955457,1786730536.146354
8,push +Z,fast,1786730536.146354,1786730536.4126086
9,push -Z,fast,1786730536.4126086,1786730583.1072645
10,twist +X,fast,1786730583.1072645,1786730643.6447074
11,twist -Y,fast,1786730643.6447074,1786730646.1955404
12,twist -X,fast,1786730646.1955404,1786730650.2359498
13,twist +X,fast,1786730650.2359498,1786730650.237075
14,twist +Y,fast,1786730650.237075,1786730651.461583
15,twist +Y,fast,1786730651.461583,1786730651.7593415
16,twist +X,fast,1786730651.7593415,1786730652.7859528
17,twist -X,fast,1786730652.7859528,1786730721.6171246
18,twist +Y,fast,1786730721.6171246,1786730840.7995896
19,twist +Z,fast,1786730840.7995896,1786730934.4153419
20,twist -Y,fast,1786730934.4153419,1786730935.4733741
21,twist -Z,fast,1786730935.4733741,1786731010.557252
