id,label,session_type,start_ts,end_ts
1,resting,fast,1786493557.4400568,1786493568.031087
2,push +X,fast,1786493568.031087,1786493597.489898
3,resting,fast,1786493597.489898,1786493599.0737312
4,push -X,fast,1786493599.0737312,1786493616.0574672
5,resting,fast,1786493616.0574672,1786493619.0074346
6,push +Y,fast,1786493619.0074346,1786493632.958048
7,resting,fast,1786493632.958048,1786493633.5851984
8,push -Y,fast,1786493633.5851984,1786493661.0026698
9,resting,fast,1786493661.0026698,1786493663.025546
10,push +Z,fast,1786493663.025546,1786493675.9548476
11,resting,fast,1786493675.9548476,1786493676.4525833
12,push -Z,fast,1786493676.4525833,1786493685.0061402
13,resting,fast,1786493685.0061402,1786493686.6925936
14,twist +X,fast,1786493686.6925936,1786493700.4068997
15,resting,fast,1786493700.4068997,1786493701.0361595
16,twist -X,fast,1786493701.0361595,1786493709.9167602
17,resting,fast,1786493709.9167602,1786493711.9994695
18,twist +Y,fast,1786493711.9994695,1786493730.423942
19,resting,fast,1786493730.423942,1786493747.4487998
20,twist +Y,fast,1786493747.4487998,1786493803.6063042
21,twist +Z,fast,1786493803.6063042,1786493816.6564422
22,twist -Z,fast,1786493816.6564422,1786493835.6398408
23,resting,fast,1786493835.6398408,1786493838.6458766
