id,label,session_type,start_ts,end_ts
1,resting,fast,1786563773.254906,1786563841.6382966
2,push +X,fast,1786563841.6382966,1786563858.0954888
3,push -X,fast,1786563858.0954888,1786563877.4937074
4,push -X,fast,1786563877.4937074,1786563877.495098
5,push +Y,fast,1786563877.495098,1786563894.982751
6,push -Y,fast,1786563894.982751,1786563919.2743223
7,push -Z,fast,1786563919.2743223,1786563938.2028594
8,push +Z,fast,1786563938.2028594,1786563956.298039
9,twist +X,fast,1786563956.298039,1786563993.5054476
10,twist -X,fast,1786563993.5054476,1786564045.3243027
11,twist +Y,fast,1786564045.3243027,1786564104.1104062
12,twist +Z,fast,1786564104.1104062,1786564104.1114488
13,twist -Z,fast,1786564104.1114488,1786564107.920613
14,twist -Y,fast,1786564107.920613,1786564147.437785
15,twist +Z,fast,1786564147.437785,1786564197.4743464
16,twist -Z,fast,1786564197.4743464,1786564237.9942997
