id,label,session_type,start_ts,end_ts
1,resting,fast,1786683727.9663248,1786683825.8449464
2,resting,fast,1786683825.8449464,1786683830.5770266
3,twist +X,fast,1786683830.5770266,1786683865.3832371
4,twist -X,fast,1786683865.3832371,1786683976.4062648
5,resting,fast,1786683976.4062648,1786684004.7076309
6,twist +Y,fast,1786684004.7076309,1786684006.9632237
7,twist -Y,fast,1786684006.9632237,1786684063.957913
8,resting,fast,1786684063.957913,1786684093.3434398
9,twist +Y,fast,1786684093.3434398,1786684206.0505347
10,push +Z,fast,1786684206.0505347,1786684274.7309659
11,push -Z,fast,1786684274.7309659,1786684328.0234916
12,push +X,fast,1786684328.0234916,1786684328.1890259
13,push +X,fast,1786684328.1890259,1786684382.89328
14,push -X,fast,1786684382.89328,1786684403.9619899
15,push -X,fast,1786684403.9619899,1786684403.99457
16,push +Y,fast,1786684403.99457,1786684404.8630335
17,push +Y,fast,1786684404.8630335,1786684405.0944324
18,push +Y,fast,1786684405.0944324,1786684427.260324
19,push -Y,fast,1786684427.260324,1786684441.8840556
20,push +Z,fast,1786684441.8840556,1786684467.4194152
21,push -Z,fast,1786684467.4194152,1786684493.3110101
